id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,11,360.32592234626554,"[['7' '29.657521686391252' 'marauded']
 ['2' '72.61833063769582' 'present']
 ['3' '103.36052161273155' 'present']
 ['2' '154.51984454400727' 'present']
 ['2' '167.2643715718436' 'present']
 ['2' '193.080925726754' 'marauded']
 ['2' '201.11090470587538' 'marauded']
 ['2' '206.27135587162843' 'presentdestroyed']
 ['2' '214.16305485931034' 'present']
 ['2' '246.87562731135435' 'present']
 ['7' '264.0958611543335' 'marauded']
 ['2' '271.9634299634014' 'present']
 ['3' '291.73626607840436' 'present']]","[['F32' '7.359934436956875' 'mated']
 ['F16' '72.89369578767904' 'absent']
 ['F59' '73.66112890764536' 'absent']
 ['F57' '116.7951795455646' 'absent']
 ['F72' '121.67851367251265' 'mated']
 ['F33' '129.0422220214947' 'mated']
 ['F9' '133.3833317806434' 'mated']
 ['F92' '133.67492183484228' 'mated']
 ['F87' '155.46355710280275' 'mated']
 ['F43' '188.24510319222037' 'mated']
 ['F79' '240.63377647278233' 'mated']
 ['F56' '255.41300366104684' 'mated']
 ['F12' '261.27622177755273' 'absent']
 ['F106' '299.7078719596845' 'mated']
 ['F21' '340.3252170016313' 'mated']]",0.0,0.0,558.0,70.82910320289031,14.919171781855876,1565.0,264.8338503299533,56.66140222152214,147.0,24.40029544871582,5.244453841718316,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,7,360.21166992656606,"[['6' '35.82557053259146' 'present']
 ['6' '42.561978102324034' 'present']
 ['6' '80.49311309708767' 'present']
 ['6' '88.932632484805' 'present']
 ['6' '106.83195695603081' 'marauded']
 ['6' '119.15463708581144' 'marauded']
 ['6' '127.02828759950224' 'present']
 ['6' '133.50951260406308' 'marauded']
 ['6' '135.31862425954597' 'presentdestroyed']
 ['6' '155.15756628847774' 'present']
 ['6' '155.3131099087787' 'marauded']
 ['6' '157.36773076283973' 'destroyed']
 ['6' '174.24626123299097' 'present']
 ['6' '175.0691103150006' 'present']
 ['7' '202.76027897158906' 'present']
 ['6' '213.54303799355688' 'marauded']
 ['6' '214.814915429596' 'destroyed']
 ['7' '238.76340668486225' 'present']
 ['6' '253.1718354105937' 'marauded']
 ['6' '266.8471424820533' 'present']
 ['6' '271.63460855655427' 'present']
 ['6' '273.59535776011165' 'present']
 ['6' '276.93116771897434' 'marauded']
 ['3' '296.80561753318517' 'marauded']
 ['6' '302.92902996116453' 'presentdestroyed']
 ['6' '303.6963437972761' 'presentdestroyed']
 ['7' '307.96949137680576' 'marauded']
 ['6' '337.7354310798349' 'present']
 ['6' '341.6944128925467' 'present']
 ['3' '344.38401279315167' 'present']
 ['6' '349.95596526701644' 'present']]","[['F29' '7.102219564039471' 'mated']
 ['F88' '40.12768269405403' 'mated']
 ['F16' '72.90526986175311' 'mated']
 ['F83' '167.93630522616525' 'mated']
 ['F7' '177.10861049990075' 'mated']
 ['F58' '180.01124907575564' 'mated']
 ['F26' '194.70783889855792' 'absent']
 ['F94' '228.52145059484445' 'mated']
 ['F21' '340.3136429275572' 'absent']]",0.0,500.0,560.0,73.5308442418766,16.42387155494556,1367.0,232.00597376184513,50.23446878599823,322.0,54.631218642006395,11.722393255614001,0.0,0.0,0.0,0.0,0.0,0.0
2,0.054,8,360.4114865661124,"[['3' '0.930982311476774' 'marauded']
 ['6' '9.146435441534386' 'marauded']
 ['3' '12.40068783798536' 'presentdestroyed']
 ['6' '13.536815354848427' 'destroyed']
 ['6' '23.19001190450772' 'marauded']
 ['3' '38.589158914226616' 'present']
 ['6' '48.45705597510179' 'present']
 ['6' '52.626893355946905' 'present']
 ['3' '56.045004522037424' 'present']
 ['6' '61.9171281383157' 'marauded']
 ['6' '71.77405936746474' 'present']
 ['6' '73.5921257753832' 'present']
 ['6' '93.58625301918566' 'present']
 ['6' '103.64000468483343' 'marauded']
 ['6' '124.95796179708583' 'present']
 ['6' '126.46911196858619' 'present']
 ['6' '155.1807144366259' 'present']
 ['6' '174.80167975423132' 'present']
 ['6' '176.1284666695137' 'marauded']
 ['3' '200.91479309970924' 'present']
 ['3' '227.39320694126718' 'present']
 ['6' '232.94775272858536' 'marauded']
 ['3' '240.38976443911469' 'present']
 ['6' '240.74812404421846' 'present']
 ['3' '261.9178748264339' 'marauded']
 ['3' '270.47076911691164' 'present']
 ['6' '277.2142986289666' 'marauded']
 ['6' '277.89033283487805' 'presentdestroyed']
 ['6' '293.8755926222709' 'present']
 ['3' '296.6661011725095' 'marauded']
 ['3' '309.46785783224675' 'present']
 ['6' '313.29743263927935' 'present']
 ['6' '319.3804575654221' 'present']
 ['6' '322.4756582097044' 'marauded']
 ['3' '322.4916428461751' 'destroyed']
 ['3' '324.46846171906213' 'presentdestroyed']
 ['3' '324.5011981441171' 'presentdestroyed']
 ['6' '331.9553253819011' 'present']
 ['3' '341.82883546611765' 'present']
 ['6' '346.1474488941187' 'present']
 ['6' '348.223697456233' 'present']
 ['6' '354.07482487269016' 'present']]","[['F84' '24.4782815378295' 'destroyed']
 ['F23' '29.794393955665125' 'absentdestroyed']
 ['F86' '64.75275528946432' 'destroyed']
 ['F44' '94.61017513472466' 'absent']
 ['F103' '143.11135883088835' 'mated']
 ['F80' '191.56463828903154' 'absent']
 ['F26' '194.73578118515945' 'mated']
 ['F49' '198.17267519361852' 'mated']
 ['F45' '211.40031227251146' 'mated']
 ['F75' '213.27915158039758' 'mated']
 ['F95' '216.73763540294456' 'mated']
 ['F40' '231.79519332898445' 'mated']
 ['F101' '240.97352999430595' 'mated']
 ['F21' '340.28570064095567' 'absent']]",0.0,1000.0,552.0,68.70547470401627,13.913892968751876,1302.0,220.4808175029376,47.88860656990132,401.0,67.71950574496712,14.831712379598724,15.0,1.5000000000000002,0.15000000000000008,67.0,1.7331031871548328,0.04608196159122082
3,0.054,10,360.01430918720115,"[['2' '17.72534771387671' 'present']
 ['6' '43.92077462497214' 'marauded']
 ['6' '55.550919717816484' 'present']
 ['2' '92.7939515519712' 'present']
 ['6' '109.54966690566192' 'marauded']
 ['6' '125.75621993388984' 'marauded']
 ['2' '129.41823828334296' 'presentdestroyed']
 ['6' '135.95522289692232' 'present']
 ['6' '185.3771711153073' 'present']
 ['2' '209.74671612901787' 'present']
 ['6' '223.7947187269927' 'present']
 ['2' '241.6975115283433' 'present']
 ['2' '251.54337987242323' 'marauded']
 ['2' '271.99616638845634' 'marauded']
 ['6' '293.65663024859373' 'present']
 ['6' '313.3253749258809' 'marauded']
 ['6' '313.81447713521595' 'presentdestroyed']
 ['6' '315.9064040900413' 'presentdestroyed']
 ['6' '325.57472444626006' 'present']
 ['2' '352.07527992958865' 'present']]","[['F73' '52.89877298626759' 'mated']
 ['F97' '83.64364661052849' 'mated']
 ['F51' '100.71477813372937' 'mated']
 ['F96' '159.32700728001845' 'mated']
 ['F62' '184.1056841930289' 'mated']
 ['F48' '193.31835945924885' 'mated']
 ['F40' '231.778825116457' 'absent']
 ['F10' '243.9990204971883' 'mated']
 ['F39' '261.69726408194975' 'mated']
 ['F91' '302.82318954605125' 'mated']
 ['F107' '307.16207421525394' 'mated']]",500.0,0.0,566.0,69.38701932188567,13.37297189625066,1490.0,249.79426516686007,52.963982731644684,238.0,36.9787662783678,7.275716150534905,14.0,1.4000000000000001,0.14000000000000007,75.0,2.471038944037564,0.08680555555555554
4,0.0,12,360.2285632609243,"[['7' '5.37878878793131' 'present']
 ['7' '17.213276847175152' 'present']
 ['7' '23.50703451781551' 'present']
 ['6' '44.39500701252897' 'present']
 ['2' '51.0984510375329' 'present']
 ['6' '54.62124096670921' 'marauded']
 ['7' '55.92375105351912' 'presentdestroyed']
 ['2' '58.415987792016246' 'presentdestroyed']
 ['6' '65.37422842393173' 'present']
 ['7' '66.88611682386004' 'present']
 ['6' '73.56897762723504' 'present']
 ['6' '77.53110414814742' 'present']
 ['2' '85.52690303753535' 'present']
 ['2' '87.00059435506887' 'present']
 ['6' '90.76956222618239' 'present']
 ['6' '94.09458565196141' 'marauded']
 ['7' '106.880706953091' 'present']
 ['6' '126.44596382043804' 'present']
 ['7' '137.15454033667032' 'present']
 ['7' '138.277293037659' 'marauded']
 ['6' '145.18018141491308' 'presentdestroyed']
 ['3' '154.87102302909682' 'present']
 ['6' '159.40780011888916' 'present']
 ['7' '176.80518286186953' 'present']
 ['7' '184.69678388182552' 'present']
 ['7' '195.81215453473712' 'present']
 ['7' '206.1758554071955' 'present']
 ['6' '206.44917923282995' 'marauded']
 ['2' '207.85166440192475' 'presentdestroyed']
 ['6' '208.68100912255804' 'presentdestroyed']
 ['2' '211.4962315741851' 'presentdestroyed']
 ['2' '213.6397146798668' 'presentdestroyed']
 ['6' '225.74320173693738' 'present']
 ['6' '235.73484109760852' 'marauded']
 ['6' '240.38146080585787' 'destroyed']
 ['2' '244.4054237650818' 'present']
 ['2' '247.925340535305' 'present']
 ['6' '263.51294752118747' 'present']
 ['7' '265.0536712914994' 'present']
 ['6' '267.9927445302151' 'present']
 ['7' '270.29320410311675' 'present']
 ['6' '270.2968750799968' 'present']
 ['2' '273.5695461505749' 'present']
 ['7' '277.24407904391074' 'present']
 ['6' '293.6845725351953' 'present']
 ['3' '310.3083619252801' 'present']
 ['6' '321.33328164054217' 'present']
 ['7' '336.24387759710385' 'present']
 ['7' '338.3819943553352' 'present']
 ['6' '340.4777478947415' 'present']
 ['6' '348.2005493080849' 'present']
 ['6' '352.5249248072218' 'present']
 ['6' '353.4791725900304' 'present']
 ['7' '354.8925834653855' 'present']]","[['F84' '24.48985561190357' 'mated']
 ['F86' '64.7643293635384' 'absent']
 ['F46' '90.537820899999' 'mated']
 ['F60' '128.3257709154902' 'mated']
 ['F104' '130.7455439187409' 'mated']
 ['F100' '131.768262375841' 'mated']
 ['F92' '133.6633477607682' 'absent']
 ['F83' '167.9199370136378' 'absent']
 ['F7' '177.0922422873733' 'absent']
 ['F36' '183.65190811883116' 'mated']
 ['F81' '184.26334081561666' 'mated']
 ['F26' '194.72420711108538' 'absent']
 ['F14' '204.62300974088834' 'mated']
 ['F74' '210.18137998281213' 'destroyed']
 ['F45' '211.38873819843738' 'destroyed']
 ['F105' '222.64912250909006' 'absent']
 ['F55' '236.0857438431027' 'destroyed']
 ['F20' '238.83900481417348' 'absentdestroyed']
 ['F5' '251.7123437883812' 'mated']
 ['F65' '253.2506319307456' 'absent']
 ['F56' '255.37828143882462' 'absent']
 ['F8' '282.1864037751255' 'mated']
 ['F34' '304.1671445719008' 'mated']
 ['F21' '340.2741265668816' 'absent']
 ['F21' '340.29727471502974' 'absent']
 ['F76' '355.1049092278346' 'mated']]",500.0,500.0,575.0,70.60687951871807,14.695263386388566,1519.0,259.0463878573305,55.62543346591271,179.0,30.45718689017727,6.307432523026015,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,8,360.0584629764869,"[['7' '16.98510587052108' 'marauded']
 ['7' '33.24105343075219' 'present']
 ['7' '37.66296865465275' 'present']
 ['7' '64.92654365378849' 'marauded']
 ['3' '75.8084607510139' 'present']
 ['7' '89.27772076519626' 'present']
 ['6' '114.95069892718574' 'present']
 ['7' '129.68559063501067' 'present']
 ['7' '134.3709561857391' 'present']
 ['3' '148.36980779633967' 'present']
 ['2' '166.33628213097808' 'present']
 ['3' '169.35185421198707' 'present']
 ['7' '178.09230382361727' 'present']
 ['3' '190.8852849251328' 'present']
 ['7' '200.58882019815204' 'marauded']
 ['7' '218.87312363818' 'present']
 ['3' '241.34744785040945' 'marauded']
 ['7' '241.47745985329215' 'destroyed']
 ['7' '258.4565368404485' 'present']
 ['3' '280.2973647212334' 'present']
 ['7' '282.69569209264824' 'present']
 ['7' '282.74186682007263' 'present']
 ['3' '335.3746672446639' 'marauded']
 ['2' '348.24752385189197' 'present']]","[['F61' '35.49717547839604' 'mated']
 ['F24' '53.36460976262275' 'mated']
 ['F59' '73.68427705579352' 'mated']
 ['F2' '113.34949699965627' 'mated']
 ['F103' '143.0949906183609' 'absent']
 ['F68' '156.373375357071' 'mated']
 ['F47' '175.5174153585463' 'mated']
 ['F80' '191.581006501559' 'mated']
 ['F70' '249.73353249604827' 'mated']]",500.0,1000.0,578.0,69.43838723906222,13.289460062703228,1525.0,260.0937230501691,56.17522817680409,176.0,30.483567424632895,6.505750512523366,0.0,0.0,0.0,0.0,0.0,0.0
6,0.054,8,359.85414889635075,"[['2' '60.38876211987763' 'present']
 ['2' '79.00547776754422' 'present']
 ['3' '83.3308654025882' 'present']
 ['3' '94.0865901279547' 'marauded']
 ['2' '112.29541525628737' 'present']
 ['3' '133.9245818048577' 'present']
 ['3' '135.7041495795525' 'present']
 ['2' '167.8625041859746' 'present']
 ['3' '174.96396917222515' 'present']
 ['2' '185.92384265600464' 'marauded']
 ['3' '186.04411822726414' 'presentdestroyed']
 ['3' '190.8457685644572' 'presentdestroyed']
 ['3' '197.80045550066072' 'marauded']
 ['3' '234.28363138965432' 'present']
 ['2' '261.91553792950106' 'present']
 ['3' '280.7344481137888' 'present']
 ['2' '288.88604070787716' 'present']
 ['3' '332.0127838853945' 'present']
 ['2' '334.89851221286244' 'present']]","[['F86' '64.77590343761247' 'mated']
 ['F28' '111.38224501588931' 'mated']
 ['F74' '210.1929540568862' 'mated']
 ['F105' '222.66069658316414' 'mated']
 ['F77' '223.7761169497665' 'mated']
 ['F82' '228.22716359102506' 'mated']
 ['F90' '285.77949044681804' 'mated']
 ['F67' '292.448252542284' 'mated']]",1000.0,0.0,566.0,68.85526525640772,13.827096387258068,1620.0,268.22554390618535,55.85710838822168,103.0,18.11568209005855,4.035221555265003,24.0,2.400000000000001,0.24000000000000016,95.0,2.463951358876779,0.06805126886145403
7,0.054,7,360.54562474732126,[],"[['F38' '82.23666936172165' 'mated']
 ['F103' '143.08341654428682' 'absent']
 ['F63' '164.45886342508769' 'mated']
 ['F83' '167.90836293956372' 'absent']
 ['F41' '192.88639905080217' 'mated']
 ['F102' '213.71111172305848' 'mated']
 ['F55' '236.09731791717678' 'mated']
 ['F20' '238.85057888824755' 'mated']
 ['F56' '255.3898555128987' 'absent']
 ['F64' '302.30909425853656' 'mated']]",1000.0,500.0,580.0,69.19814697701699,13.43056300374955,1717.0,287.1143301788871,61.007804918328006,0.0,0.0,0.0,14.0,1.4000000000000001,0.14000000000000007,94.0,2.407610347505677,0.06805126886145402
8,0.0,9,360.6864747686551,"[['7' '28.014426162301536' 'present']
 ['7' '52.49377573749948' 'present']
 ['6' '57.04050543204126' 'present']
 ['7' '67.04384005346817' 'present']
 ['7' '73.42228250897779' 'present']
 ['7' '91.97372315759333' 'marauded']
 ['7' '124.52613344691804' 'marauded']
 ['7' '129.3009903753834' 'presentdestroyed']
 ['7' '145.37736767863484' 'present']
 ['7' '151.0829784696697' 'present']
 ['7' '164.42352007641614' 'present']
 ['7' '167.32258295408673' 'present']
 ['7' '185.3214772015174' 'marauded']
 ['7' '213.4193954194267' 'present']
 ['7' '213.60730685624037' 'present']
 ['6' '238.84000254802572' 'present']
 ['6' '256.55300784072415' 'present']
 ['7' '269.22020820328106' 'present']
 ['6' '279.7274261432978' 'present']
 ['7' '284.21756418035085' 'marauded']
 ['7' '312.7431227993442' 'present']
 ['7' '315.1474383114234' 'present']
 ['7' '318.7162211679977' 'present']
 ['7' '332.5924273205979' 'present']
 ['7' '350.469895285925' 'present']
 ['7' '357.5874944846196' 'present']
 ['7' '359.6137405275563' 'present']]","[['F69' '87.39002874097581' 'mated']
 ['F78' '112.4340228670071' 'mated']
 ['F57' '116.80675361963867' 'mated']
 ['F50' '164.25062947826413' 'mated']
 ['F15' '184.6089087633659' 'mated']
 ['F53' '189.10451399863894' 'destroyed']
 ['F22' '213.62211174868435' 'mated']
 ['F66' '229.06109820801225' 'mated']
 ['F56' '255.36191322629716' 'absent']
 ['F56' '255.40142958697277' 'absent']
 ['F12' '261.2877958516268' 'mated']
 ['F98' '322.0628996655707' 'mated']]",1000.0,1000.0,569.0,67.90143447885036,13.21137647663504,1571.0,267.63417901263523,56.75969850638665,141.0,24.46491154842135,5.404606157243442,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,6,360.1799712601475,"[['3' '53.21434591949107' 'present']
 ['7' '262.3087189090119' 'present']]","[['F23' '29.81754210381327' 'absent']
 ['F44' '94.63332328287281' 'mated']
 ['F31' '100.61655305161227' 'mated']
 ['F13' '142.16413602981666' 'mated']
 ['F42' '190.12025246104474' 'mated']
 ['F65' '253.27378007889376' 'mated']
 ['F6' '261.5326395585685' 'mated']]",1500.0,0.0,577.0,69.65018642355798,14.212747809765267,1698.0,290.53428020515514,62.85822516216953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
