probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,12,100,0,0,359.4672873453221,0,0,0,0.6064814814814827,107,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,12,-99,2,1
0.054,6,0,0,0,359.74040742413615,0,0,0,0.5509259259259269,108,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,6,-99,2,1
0,12,100,0,0,360.0870959336,0,0,0,0,108,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,119,12,-99,2,1
0,7,0,0,0,360.00524615608856,0,0,0,0,109,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,134,7,-99,2,1
0.054,11,100,0,0,359.5601799482959,0,0,0,0.6203703703703717,109,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,11,-99,2,1
0.054,7,0,0,0,359.55243291361774,0,0,0,0.5509259259259269,10,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,7,-99,2,1
0,11,100,0,0,360.11245841864945,0,0,0,0,10,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,119,11,-99,2,1
0.054,8,0,0,0,359.45597704416855,0,0,0,0.5648148148148159,110,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0,10,100,0,0,360.318053246915,0,0,0,0,110,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,122,10,-99,2,1
0,5,0,0,0,360.13347306549485,0,0,0,0,111,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,130,5,-99,2,1
0.054,13,100,0,0,359.57760536141217,0,0,0,0.6018518518518531,111,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,13,-99,2,1
0.054,12,0,0,0,359.7090078044777,0,0,0,0.4351851851851858,112,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,12,-99,2,1
0,6,100,0,0,360.0362230835196,0,0,0,0,112,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,94,6,-99,2,1
0.054,8,0,0,0,359.5365257947513,0,0,0,0.472222222222223,113,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0,10,100,0,0,360.0471774854046,0,0,0,0,113,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,102,10,-99,2,1
0.054,12,0,0,0,359.5581302378348,0,0,0,0.5324074074074083,114,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,12,-99,2,1
0,6,100,0,0,360.1875797900384,0,0,0,0,114,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,115,6,-99,2,1
0,5,0,0,0,360.0274746634015,0,0,0,0,115,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,132,5,-99,2,1
0.054,13,100,0,0,359.4108000814333,0,0,0,0.6111111111111124,115,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,13,-99,2,1
0.054,9,0,0,0,359.36260364914966,0,0,0,0.6851851851851868,116,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0,9,100,0,0,360.1256154698756,0,0,0,0,116,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,148,9,-99,2,1
0,11,0,0,0,360.00238262607326,0,0,0,0,117,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,122,11,-99,2,1
0.054,7,100,0,0,359.5624494841821,0,0,0,0.5648148148148159,117,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,7,-99,2,1
0.054,7,0,0,0,359.74390790419613,0,0,0,0.4398148148148154,118,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,7,-99,2,1
0,11,100,0,0,360.0858470130883,0,0,0,0,118,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,95,11,-99,2,1
0.054,8,0,0,0,359.5786641428138,0,0,0,0.4768518518518526,119,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,8,-99,2,1
0,10,100,0,0,360.1543017235218,0,0,0,0,119,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,103,10,-99,2,1
0.054,10,0,0,0,359.66105536114134,0,0,0,0.5509259259259269,11,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,10,-99,2,1
0,8,100,0,0,360.0104407741235,0,0,0,0,11,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,119,8,-99,2,1
0,9,0,0,0,360.0841130946383,0,0,0,0,120,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,134,9,-99,2,1
0.054,9,100,0,0,359.47395502768165,0,0,0,0.6203703703703717,120,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0.054,7,0,0,0,359.6742869807414,0,0,0,0.5833333333333345,121,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,7,-99,2,1
0,11,100,0,0,360.0403292120398,0,0,0,0,121,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,126,11,-99,2,1
0,8,0,0,0,360.15048210703725,0,0,0,0,122,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,121,8,-99,2,1
0.054,10,100,0,0,359.5014686223206,0,0,0,0.5601851851851862,122,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,10,-99,2,1
0.054,7,0,0,0,359.72637952243196,0,0,0,0.5601851851851862,123,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,7,-99,2,1
0,11,100,0,0,360.25667411810696,0,0,0,0,123,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,121,11,-99,2,1
0.054,13,0,0,0,359.6720228360972,0,0,0,0.4861111111111119,124,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,13,-99,2,1
0,5,100,0,0,360.0610018534813,0,0,0,0,124,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,105,5,-99,2,1
0.054,10,0,0,0,359.4583176730839,0,0,0,0.5879629629629641,125,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,10,-99,2,1
0,8,100,0,0,360.01081230852867,0,0,0,0,125,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,127,8,-99,2,1
0.054,9,0,0,0,359.5511998020552,0,0,0,0.49074074074074153,126,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0,9,100,0,0,360.18684248841197,0,0,0,0,126,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,106,9,-99,2,1
0.054,14,0,0,0,359.4638353268617,0,0,0,0.6527777777777792,127,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,14,-99,2,1
0,4,100,0,0,360.20472004194517,0,0,0,0,127,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,141,4,-99,2,1
0,6,0,0,0,360.1415089876883,0,0,0,0,128,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,98,6,-99,2,1
0.054,12,100,0,0,359.58043848666904,0,0,0,0.45370370370370433,128,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,12,-99,2,1
0,9,0,0,0,360.0971984906617,0,0,0,0,129,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,116,9,-99,2,1
0.054,9,100,0,0,359.56178258105604,0,0,0,0.537037037037038,129,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,9,-99,2,1
0.054,10,0,0,0,359.3613720969411,0,0,0,0.6481481481481496,12,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_zero_feeding,0,11,-99,2,1
