probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,7,0,0,0,359.5783803627037,0,0,0,0.5462962962962973,0,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,0,7,2.5,2,1
0,11,100,0,0,360.10145596444625,0,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,118,11,2.5,2,1
0,5,0,0,0,360.0498057781663,0,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,127,5,2.5,2,1
0.054,13,100,0,0,359.6024328666111,0,0,0,0.5879629629629641,1,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,0,13,2.5,2,1
0,7,0,0,40.78746097104467,264.92355098971484,54.478640155638274,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,111,12,2.5,2,1
0.054,11,100,0,39.4239230056105,319.24589244066965,0,9,0.8999999999999999,0.5138888888888897,2,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,0,12,2.5,2,1
0,8,0,0,39.35445119893524,241.1949897216199,79.82107022691797,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,97,12,2.5,2,1
0.054,10,100,0,40.02542091212814,318.3303672206578,0,13,1.3,0.4490740740740747,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,0,10,2.5,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,NA,NA,2.5,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,NA,NA,2.5,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,NA,NA,2.5,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,NA,NA,2.5,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,NA,NA,2.5,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,NA,NA,2.5,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,NA,NA,2.5,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,NA,NA,2.5,2,1
100,0,1737,287.18155065180076,0,18,100,0.00214334705075445,NA,NA,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,0,0,2.5,2,1
0.054,9,0,0,39.21912026920143,319.4867058950738,0,8,0.7999999999999999,0.6250000000000013,4,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,0,9,2.5,2,1
0,9,100,0,38.42025176521613,272.54468427101375,49.03762700046636,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,135,11,2.5,2,1
0,3,0,0,38.4512271405509,256.4572298183168,65.118168818174,0,0,0,5,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,102,6,2.5,2,1
0.054,15,100,0,40.66827486052363,317.8268441220728,0,11,1.1,0.472222222222223,5,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_2.5,0,17,2.5,2,1
