probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,9,100,100,71.13312025021932,214.01517441223933,73.35099981298035,12,1.2,0.3851100286299704,7,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,58,13,5,4,3
0.054,8,0,0,72.61891631466533,243.606822766538,42.52377743165579,10,1,0.3750000000000003,8,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,58,14,5,4,3
0.054,15,0,100,70.27700056643468,257.76330438179286,30.67854672199033,9,0.8999999999999999,0.4741963281073748,8,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,53,18,5,4,3
0,9,100,0,71.39945916011357,233.67863825985648,55.065710685772416,0,0,0,8,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,89,11,5,4,3
0.054,4,100,100,69.89724767970594,246.01325717979964,42.856451824715634,9,0.8999999999999999,0.4935656159966044,8,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,54,10,5,4,3
0.054,15,0,0,71.47388009469529,243.02204212588327,43.98888872289845,11,1.1,0.5690920442326449,9,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,43,20,5,4,3
0.054,9,0,100,72.37686411726528,230.7061133306618,54.757761084371765,18,1.8000000000000005,0.3894106406120747,9,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,67,11,5,4,3
0.054,8,100,0,71.41875932051194,213.3162654497481,73.82025301105328,12,1.2,0.3643448370825697,9,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,57,11,5,4,3
0,4,100,100,75.79322750941138,217.37091124903748,67.02369755593467,0,0,0,9,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,74,12,5,4,3
0.054,9,0,0,70.79250405585168,244.6623276531572,42.73200453875558,13,1.3,0.5153976935546513,100,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,41,14,5,4,3
0,7,0,100,72.09070152187358,202.48053160121455,85.5465307323384,0,0,0,100,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,73,17,5,4,3
0.054,10,100,0,72.2938467732505,231.53213710745788,55.23964499624631,8,0.7999999999999999,0.24252211255023248,100,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,51,13,5,4,3
0.054,10,100,100,70.56527253097113,252.9970434545125,34.535994699144865,15,1.5000000000000002,0.4330514131638937,100,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,50,13,5,4,3
0.054,10,0,0,71.73202836046315,249.9602589721719,36.577911087824475,13,1.3,0.4456242314626811,101,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,55,15,5,4,3
0.054,8,0,100,67.59242124723009,250.0535510645204,40.91296993003184,11,1.1,0.3940402702417044,101,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,59,15,5,4,3
0.054,11,100,0,70.0459766047836,239.80181799218005,48.78891221998966,10,1,0.5290140152998098,101,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,54,14,5,4,3
0,7,100,100,69.23517715914305,211.53484682072272,79.31685810779369,0,0,0,101,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,80,9,5,4,3
0.054,12,0,0,72.02911434431653,243.6854242675792,42.790926980924105,11,1.1,0.4488015069303445,102,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,53,14,5,4,3
0.054,9,0,100,73.38433247490823,242.1663433216295,42.7206664222991,14,1.4,0.4248590399152804,102,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,64,13,5,4,3
0,7,100,0,71.03538462687844,210.0027711381585,79.19801540947874,0,0,0,102,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,79,14,5,4,3
0.054,8,100,100,69.88626895019308,245.8885918984242,42.957594739405366,9,0.8999999999999999,0.4548834907219405,102,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,57,16,5,4,3
0,10,0,0,73.81872629364709,219.4901026316796,66.81574018220896,0,0,0,103,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,73,12,5,4,3
0.054,7,0,100,72.16764211074812,237.6592054311423,48.70193231133738,12,1.2,0.4341182991745397,103,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,54,16,5,4,3
0.054,10,100,0,73.05665428781286,243.0383892535234,42.65420400107794,9,0.8999999999999999,0.4009165729002164,103,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,59,16,5,4,3
0.054,9,100,100,66.76447272191582,248.8013651607863,42.76963718362889,12,1.2,0.4812653648415469,103,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,54,15,5,4,3
0,7,0,0,72.508504969479,226.53153312827047,61.10844539953807,0,0,0,104,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,89,13,5,4,3
0.054,6,0,100,69.28355416868571,252.0195490888512,36.93958969528093,13,1.3,0.5144670911158702,104,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,41,10,5,4,3
0.054,17,100,0,67.53652910110777,235.89173153012044,54.93229973018625,13,1.3,0.4025052106340478,104,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,54,21,5,4,3
0.054,6,100,100,67.40268177163378,217.52436494314293,73.61706622785542,11,1.1,0.3566742155571419,104,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,53,10,5,4,3
0.054,6,0,0,72.12573095758533,207.68664660434536,79.02430096391693,8,0.7999999999999999,0.40905249564503454,105,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,61,12,5,4,3
0.054,12,0,100,71.31520602889186,256.09113852582107,30.671654831782725,16,1.6000000000000003,0.5240553680226548,105,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,54,14,5,4,3
0,10,100,0,68.39430708109306,224.4546997049281,67.1662106583883,0,0,0,105,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_5,76,13,5,4,3
