probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0,4,0,0,39.67597757205555,252.73651523287813,67.62825026699385,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,111,10,10,2,1
0.054,14,100,0,39.97844980004328,318.41124577595536,0,11,1.1,0.5138888888888897,0,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,0,16,10,2,1
0,5,0,0,72.80951846527039,202.0919132669132,85.16389298649973,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,100,11,10,2,1
0.054,13,100,0,72.60782615658803,285.59546688989315,0,14,1.4,0.4629629629629636,1,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,0,17,10,2,1
0.054,8,0,0,37.412248202803355,321.62366673421474,0,6,0.6,0.472222222222223,2,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,0,10,10,2,1
0,10,100,0,38.08639454005975,285.38371755297777,36.57279140684415,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,102,14,10,2,1
0.054,13,0,0,116.49654516442922,241.7592562636457,0,15,1.5000000000000002,0.365740740740741,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,0,18,10,2,1
0,5,100,0,116.57568814235223,153.04305456206097,90.4691329881846,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,79,13,10,2,1
0.054,11,0,0,38.69838507852002,319.70362657503546,0,11,1.1,0.5740740740740752,4,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,0,13,10,2,1
0,7,100,0,40.31229154379929,252.84963910589283,66.99688409122903,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,124,10,10,2,1
0.054,12,0,0,113.9015826594229,244.11334991017597,0,16,1.6000000000000003,0.3888888888888892,5,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,0,24,10,2,1
0,5,100,0,113.24521786704058,149.22950964046433,97.67114326854214,0,0,0,5,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,84,25,10,2,1
0,7,0,0,70.79644606566791,222.3171882888926,66.89815647844364,0,0,0,6,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,73,13,10,2,1
0.054,11,100,0,70.96756294400082,287.7761498129371,0,11,1.1,0.3379629629629631,6,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,0,15,10,2,1
0.054,14,0,0,113.574669026007,244.58032224740904,0,16,1.6000000000000003,0.37962962962962993,7,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,0,20,10,2,1
0,4,100,0,115.70853367941184,150.71024317793186,93.58387516520575,0,0,0,7,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_10,82,17,10,2,1
