probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,7,0,0,0,358.4686111930575,0,0,0,1.6776318118067133,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,128,7,-99,24,23
0,12,0,100,0,360.14866861697567,0,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,106,12,-99,24,23
0.054,11,0,200,0,358.81887661586455,0,0,0,1.301016646476323,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,112,11,-99,24,23
0.054,3,0,300,0,358.53397265976537,0,0,0,1.4677401638335157,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,112,3,-99,24,23
0.054,5,100,0,0,352.7843952621404,6.060445260760521,0,0,1.339193458830818,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,110,5,-99,24,23
0.054,8,100,100,0,346.1471525120855,12.497670124333911,1,0.1,1.261098361301207,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,123,8,-99,24,23
0.054,10,100,200,0,352.72029528294286,6.017652422360311,0,0,1.288208773060984,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,117,10,-99,24,23
0.054,11,100,300,0,358.7117585794652,0,0,0,1.3297041718628682,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,117,11,-99,24,23
0.054,9,200,0,0,358.6789401553472,0,2,0.2,1.1936126939324374,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,99,9,-99,24,23
0.054,7,200,100,0,358.47872315055594,0,0,0,1.550616950702786,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,125,7,-99,24,23
0.054,8,200,200,0,358.52067539058254,0,0,0,1.4799021638493173,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,106,8,-99,24,23
0.054,10,200,300,0,358.8789968658539,0,1,0.1,1.1902411843011995,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,113,10,-99,24,23
0.054,15,300,0,0,358.4727500629909,0,2,0.2,1.4435286719074103,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,129,15,-99,24,23
0.054,10,300,100,0,358.8800929093848,0,0,0,1.3932139416044786,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,121,10,-99,24,23
0.054,4,300,200,0,358.4851832755171,0,0,0,1.612946717395434,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,123,4,-99,24,23
0.054,10,300,300,0,358.65585124459005,0,0,0,1.382100590654806,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,135,10,-99,24,23
0.054,9,400,0,0,346.4112734060415,12.239657732163469,0,0,1.4963049365888306,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,97,9,-99,24,23
0.054,9,400,100,0,358.6737154592142,0,0,0,1.3418704413193523,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,100,9,-99,24,23
0.054,13,400,200,0,358.5095015983378,0,0,0,1.522009893978262,0,D_pmar=0.054_dist=100_repair_6_males=24_nmar=23,FG_theta_zero_feeding,116,13,-99,24,23
