probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,num_males,num_mar
0.054,12,300,200,74.31028377460083,259.20656039348466,24.505655200805627,16,1.6000000000000003,0.6376800156306884,2,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,6,0,0,71.71181651355721,282.1714661668597,6.145608661600049,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,0,100,64.8429476677387,283.01251164524734,12.15334676342744,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,0,200,71.39798732227194,258.14474408737675,30.490078308146767,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,9,100,0,73.80459998500386,261.98869779650516,24.410840201954912,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,12,100,100,72.15988859979534,275.82576126778036,12.030755835375688,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,13,100,200,67.35372557380387,272.7139832839401,18.12417287316609,12,1.2,0.6903957421276442,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,7,200,0,72.69507779403246,281.29906568100574,6.009389836479166,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,200,100,71.56741126740923,282.30639151598507,6.14646110133172,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,11,200,200,71.19661902240804,270.62503351421236,18.199153339563303,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,300,0,68.41507812277486,291.69023127752996,0,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,7,300,100,69.4298265884672,272.2557522745389,18.34471391568796,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,7,300,200,72.65509141144739,278.9280826049865,6.273482291515923,14,1.4,0.8004258820050367,3,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,0,0,69.06529112475108,284.8199015753864,6.217507261169947,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,0,100,73.44696287215324,274.45216311179223,12.306323215274492,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,7,0,200,72.71863867354409,262.86782158717057,24.439703220565924,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,10,100,0,66.69947131367142,293.31992214167695,0,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,12,100,100,67.92153571054808,289.5706325292725,0,19,1.9000000000000008,0.6317964695904427,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,4,100,200,72.78628665653952,269.0956838846102,18.12276935858111,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,11,200,0,69.00100127771412,272.63820551746517,18.443286339500524,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,8,200,100,73.76899385293906,274.0395014402347,12.196701544928544,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,7,200,200,68.73412009657392,271.5540649405995,18.21827815001175,9,0.8999999999999999,0.6219343769970003,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,9,300,0,71.31615185052583,264.4448455905744,24.360551316328326,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,14,300,100,72.73006259392363,269.0908307533362,18.330653722027037,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,6,300,200,68.37128821909796,275.14873405642584,16.592191652399944,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,13,0,0,68.77948216692508,282.16640160258936,6.163341790261965,22,2.2000000000000006,0.7531294813552996,5,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,5,0,100,72.90744353019238,250.86524533174415,36.38185205257386,0,0,0,5,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,12,0,200,72.79313335736428,274.3836194003953,12.938616401137294,0,0,0,5,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,6,100,0,71.50049213049195,269.99611942432097,18.5091789164382,0,0,0,5,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0.054,10,100,100,70.18942426973707,263.6744370232101,24.343531698203865,13,1.3,0.5993427704876921,5,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
0,5,100,200,76.13764425901208,265.611526838586,18.385956096789133,0,0,0,5,D_pmar=0.054_dist=100_repair_6_males=12_nmar=2,12,2
