probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,num_males,num_mar
0,5,0,0,69.95893130374888,259.48682419982373,30.60968114951426,0,0,0,0,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,10,0,500,68.83729865991849,197.1550271572445,91.241807802781,8,0.7999999999999999,1.9756658877247184,0,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,16,500,0,73.34510024583038,193.1415930957191,91.285365908924,10,1,1.4384753616604382,0,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,10,500,500,69.30606269500399,268.3192171735368,18.432990919274125,13,1.3,2.774769853821504,0,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,6,1000,0,70.38114875823052,234.34540709924943,55.33898755081309,0,0,0,0,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,7,1000,500,70.84596823966693,241.19492111269196,43.22283761962603,23,2.3000000000000007,2.4469491651041557,0,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,3,0,0,72.17540248440307,246.6004604372316,37.15768264322175,15,1.5000000000000002,2.63706961500222,1,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,10,0,500,72.56453295726662,175.18731053573413,109.88121527441356,10,1,1.6140722699388386,1,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,15,500,0,71.57873823835823,251.56231896788452,36.91266937591213,0,0,0,1,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,12,500,500,69.29036805297292,232.48309450741436,58.39490517367745,0,0,0,1,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,6,1000,0,71.18818607087141,247.23251571999205,38.27796202640367,13,1.3,2.326612684997177,1,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,8,1000,500,72.35034797864347,278.4948063830699,6.082384583832292,11,1.1,2.0138888888888884,1,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,9,0,0,71.34810937748398,197.00915769448812,91.64587571219992,0,0,0,2,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,10,0,500,69.58316354372661,253.78145087504248,36.70069788635998,0,0,0,2,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,12,500,0,70.48026440684545,261.2802722200527,24.30974663596088,21,2.1000000000000005,2.0188241536017686,2,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,10,500,500,71.9278736513016,242.93339095808875,42.48035474405615,7,0.7,2.0300575187461796,2,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,8,1000,0,68.23770924828115,234.15291427233385,54.489841389816554,13,1.3,1.9090772211805451,2,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,5,1000,500,68.28617105962506,255.87795273987777,32.58757667122968,6,0.6,2.7509402878140308,2,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,9,0,0,77.827535610938,254.30785655297424,24.445904725526237,16,1.6000000000000003,1.8981481481481477,3,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,5,0,500,71.13847581890604,260.4463233617245,24.48208107542885,15,1.5000000000000002,2.489026847781528,3,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,6,500,0,73.1558764554147,223.52849742108384,61.20782558661272,6,0.6,1.5885976156937385,3,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,17,500,500,73.05497890366115,207.116463755438,79.92888797853136,0,0,0,3,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,13,1000,0,70.52323723881884,220.0178456043738,66.93653709516116,8,0.7999999999999999,1.7729492369635913,3,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,4,1000,500,71.0906321874887,282.90505556497857,6.007716265633325,0,0,0,3,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,14,0,0,70.6328314898429,231.23960763263827,55.11996268404118,11,1.1,1.9295217374844291,4,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,6,0,500,71.28013223727294,218.19229936117696,67.30784150659048,13,1.3,1.9376899058448924,4,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,7,500,0,71.47573832496649,233.55015792228653,55.13299018723264,0,0,0,4,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,11,500,500,68.35765728986263,257.8339631085964,30.568516741428404,12,1.2,2.13605783652413,4,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,5,1000,0,73.42669768169937,197.82687376772833,85.3991753412137,16,1.6000000000000003,1.7698112065443443,4,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,11,1000,500,70.86515517493795,264.9594536172185,24.41960721766708,0,0,0,4,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,11,0,0,71.01648183027925,213.25579174911832,73.10197399418519,7,0.7,2.1628732868948437,5,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,9,0,500,68.65999279093407,275.6097221572116,12.167585014647097,9,0.8999999999999999,2.6973601811148624,5,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,10,500,0,71.78625509076255,224.28259086673168,61.10439381490029,12,1.2,1.866375393471516,5,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,10,500,500,71.42663831760319,245.77860705340885,42.82911759863251,0,0,0,5,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0,3,1000,0,73.45666314697803,231.28547058035193,55.37272366319734,0,0,0,5,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,11,1000,500,68.81736475085869,244.9191340685992,42.77120912053595,19,1.9000000000000008,1.6435185185185182,5,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,11,0,0,72.487022931736007,234.89795807433217,48.87762296760636,15,1.5000000000000002,2.2797518836629314,6,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
0.054,8,0,500,69.52309075476374,273.9576669014753,12.244164951261478,15,1.5000000000000002,2.882849658412062,6,D_pmar=0.054_dist=500_repair_6_males=6_nmar=4,6,4
