probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,10,0,0,0,359.46938886767344,0,0,0,0.6519036258427933,0,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,81,10,-99,4,3
0,6,0,100,0,360.01381450200716,0,0,0,0,0,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,124,6,-99,4,3
0.054,8,100,0,0,353.3767897261457,6.050681594172467,0,0,0.6562606883286924,0,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,92,8,-99,4,3
0.054,12,100,100,0,359.30724321962566,0,1,0.1,0.7189651136864905,0,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,75,12,-99,4,3
0.054,11,0,0,0,359.37362759586466,0,0,0,0.6539575647960153,1,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,78,11,-99,4,3
0,9,0,100,0,360.02678286980347,0,0,0,0,1,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,116,9,-99,4,3
0.054,6,100,0,0,359.7845108481613,0,0,0,0.5324074074074083,1,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,95,6,-99,4,3
0.054,10,100,100,0,359.4338618887253,0,0,0,0.6777637482392141,1,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,83,10,-99,4,3
0.054,12,0,0,0,359.5582112224355,0,0,0,0.6523689270621837,2,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,86,12,-99,4,3
0.054,8,0,100,0,359.5461991975398,0,0,0,0.5648148148148159,2,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,77,8,-99,4,3
0,6,100,0,0,360.153667001221,0,0,0,0,2,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,114,6,-99,4,3
0.054,10,100,100,0,359.69043808365893,0,0,0,0.5964843538591025,2,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,87,10,-99,4,3
0.054,11,0,0,0,359.51786787885897,0,0,0,0.6218791750361331,3,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,91,11,-99,4,3
0,12,0,100,0,360.105324735529,0,0,0,0,3,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,117,12,-99,4,3
0.054,7,100,0,0,359.34269222922677,0,0,0,0.7440309172159957,3,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,80,7,-99,4,3
0.054,6,100,100,0,359.3748404104833,0,0,0,0.6769694293722983,3,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,99,6,-99,4,3
0.054,9,0,0,0,359.5157197327306,0,0,0,0.6091700731654801,4,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,80,9,-99,4,3
0.054,6,0,100,0,359.47717048310074,0,0,0,0.6974056032721738,4,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,77,6,-99,4,3
0.054,12,100,0,0,359.48154162673217,0,0,0,0.673599419828975,4,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,88,12,-99,4,3
0,9,100,100,0,360.0003112637554,0,0,0,0,4,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,121,9,-99,4,3
0.054,10,0,0,0,359.4144937101004,0,0,0,0.6986652233584801,5,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,88,10,-99,4,3
0,12,0,100,0,360.0784017313,0,0,0,0,5,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,124,12,-99,4,3
0.054,8,100,0,0,359.5383247504076,0,0,0,0.8110125719916224,5,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,85,8,-99,4,3
0.054,6,100,100,0,359.32444084171334,0,0,0,0.7282243729457498,5,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,111,6,-99,4,3
0.054,9,0,0,0,359.5138834179096,0,0,0,0.5555555555555566,6,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,75,9,-99,4,3
0,10,0,100,0,360.09903906302276,0,0,0,0,6,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,100,10,-99,4,3
0.054,9,100,0,0,359.3338623735388,0,0,0,0.7089679860641102,6,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,73,9,-99,4,3
0.054,8,100,100,0,359.661136426711,0,0,0,0.5497227563434156,6,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,95,8,-99,4,3
0,7,0,0,0,360.08829495649087,0,0,0,0,7,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,109,7,-99,4,3
0.054,8,0,100,0,353.26456111167704,6.277208495842437,0,0,0.5444350914187355,7,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,104,9,-99,4,3
0.054,9,100,0,0,359.2958342772173,0,0,0,0.7695620219648912,7,D_pmar=0.054_dist=100_repair_6_males=4_nmar=3,FG_theta_zero_feeding,73,9,-99,4,3
