probability_maraud,successful_mating,x_pos,y_pos,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,fg_theta_dir,mar_attempts_count,mate_attempts_count,fg_theta,num_males,num_mar
0.054,12,0,0,96.0535880351811,262.49843311744183,0,11,1.1,0.351851851851852,106,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,15,7.5,2,1
0,6,100,0,94.01343028512764,198.70424915843847,67.41752839316099,0,0,0,106,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,76,11,7.5,2,1
0,6,0,0,98.6790629113004,139.02914128167933,122.46794221676043,0,0,0,107,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,96,18,7.5,2,1
0.054,12,100,0,96.63641259649566,260.9489695600047,0,20,2.0000000000000004,0.44444444444444503,107,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,17,7.5,2,1
0.054,16,0,0,96.47197002835875,261.8615930430616,0,13,1.3,0.40740740740740783,108,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,18,7.5,2,1
0,2,100,0,99.08513972555258,181.30666714350343,79.63313114838859,0,0,0,108,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,88,10,7.5,2,1
0.054,10,0,0,93.18175977527568,265.04925054304675,0,14,1.4,0.3750000000000003,109,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,13,7.5,2,1
0,8,100,0,94.09065439631904,180.10427940843616,85.95321240842593,0,0,0,109,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,81,13,7.5,2,1
0,7,0,0,96.15275740569044,159.84377428918873,104.07585665386256,0,0,0,10,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,98,12,7.5,2,1
0.054,11,100,0,95.88543458681964,262.2070133435491,0,17,1.7000000000000004,0.45370370370370433,10,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,16,7.5,2,1
0,5,0,0,93.17530241013368,193.79210029914964,73.0732455547021,0,0,0,110,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,97,9,7.5,2,1
0.054,13,100,0,92.1178808403818,266.37166833453966,0,12,1.2,0.4490740740740747,110,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,16,7.5,2,1
0,4,0,0,98.65304638710084,169.9918214412375,91.73901599264131,0,0,0,111,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,79,14,7.5,2,1
0.054,14,100,0,97.79982748738026,260.42549583058087,0,15,1.5000000000000002,0.365740740740741,111,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,0,22,7.5,2,1
0,2,0,0,97.38402222847256,189.2928907782802,73.33168521527215,0,0,0,112,D_pmar=0.054_dist=100_repair_6_males=2_nmar=1,FG_theta_7.5,79,8,7.5,2,1
