id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.054,11,360.127939607102,"[['1' '4.096814367853452' 'present']
 ['2' '7.863456230896369' 'present']
 ['2' '32.43391443979829' 'present']
 ['2' '34.121707330193' 'present']
 ['1' '56.28124688920464' 'present']
 ['1' '58.0350518310192' 'present']
 ['2' '63.928365553297475' 'present']
 ['1' '87.76026840716357' 'present']
 ['1' '91.11643743553942' 'present']
 ['1' '95.73846607098172' 'present']
 ['1' '98.25266380709041' 'present']
 ['1' '99.89849144715114' 'present']
 ['1' '112.65347348176695' 'present']
 ['2' '115.83392495333628' 'present']
 ['2' '117.68025336927752' 'present']
 ['2' '126.6165028047675' 'present']
 ['1' '131.76912260211657' 'present']
 ['1' '133.5298043932352' 'present']
 ['2' '133.5771305003825' 'present']
 ['2' '137.40810200814067' 'present']
 ['1' '137.79455818545622' 'present']
 ['2' '140.88422747800283' 'present']
 ['2' '155.42377409109693' 'present']
 ['1' '158.8759337192241' 'present']
 ['1' '168.7405310310851' 'present']
 ['1' '182.07078899782448' 'present']
 ['2' '184.5576411473231' 'present']
 ['1' '197.84158544807022' 'marauded']
 ['1' '201.53970165457426' 'presentdestroyed']
 ['1' '210.8311949057077' 'marauded']
 ['2' '227.31567752995076' 'present']
 ['2' '227.9070930898608' 'marauded']
 ['1' '230.60873191161213' 'presentdestroyed']
 ['1' '233.57760114493854' 'presentdestroyed']
 ['2' '247.26746675832203' 'present']
 ['1' '247.42779588339621' 'present']
 ['2' '259.45771598688964' 'present']
 ['2' '260.85760923148644' 'present']
 ['2' '279.95267522091854' 'present']
 ['1' '281.9899247826604' 'present']
 ['2' '289.1061328515049' 'present']
 ['1' '292.351517411846' 'marauded']
 ['2' '294.7474613442274' 'destroyed']
 ['2' '308.2345061038873' 'present']
 ['1' '308.28591231756553' 'present']
 ['1' '330.2808826599325' 'present']
 ['1' '333.91302475930604' 'present']
 ['1' '345.2803040719695' 'present']
 ['2' '353.3067830471177' 'present']]","[['F8' '91.46577489934398' 'mated']
 ['F2' '92.68281026219378' 'mated']
 ['F19' '123.8580744731034' 'mated']
 ['F5' '126.04645884615735' 'absent']
 ['F35' '145.1441853195383' 'mated']
 ['F32' '147.18665008347594' 'mated']
 ['F20' '155.71908797429217' 'mated']
 ['F10' '224.1536940355278' 'mated']
 ['F12' '257.93213086131465' 'mated']
 ['F9' '261.7182207513072' 'mated']
 ['F6' '270.079827589895' 'absent']
 ['F16' '272.0052469706161' 'mated']
 ['F33' '352.81793085911164' 'mated']]",0.0,0.0,568.0,70.94150602264673,14.455080322211078,1572.0,262.3765216025955,55.78558781339792,148.0,24.572263483446065,5.190422414635686,16.0,1.6000000000000003,0.1600000000000001,108.0,0.5690355937288499,0.0030864197530864218
1,0.054,9,359.91659007632353,"[['0' '0.0023148148148148147' 'present']
 ['0' '8.000263634752013' 'present']
 ['0' '12.055276741064972' 'present']
 ['2' '12.390830265661622' 'present']
 ['0' '14.20090537569747' 'present']
 ['0' '21.27242914247292' 'marauded']
 ['2' '22.61706667250549' 'presentdestroyed']
 ['2' '23.13793500331226' 'destroyed']
 ['0' '31.23675133457281' 'present']
 ['0' '32.664248563642666' 'present']
 ['2' '34.13192541714294' 'marauded']
 ['0' '39.18250448617108' 'presentdestroyed']
 ['0' '53.156284908753655' 'present']
 ['2' '60.120879186168665' 'present']
 ['0' '67.12102217391815' 'present']
 ['0' '73.74351239851873' 'present']
 ['0' '83.00787425456468' 'present']
 ['0' '84.81707180524438' 'present']
 ['0' '112.46595597590778' 'present']
 ['2' '115.82833649601598' 'present']
 ['2' '121.82795064475847' 'present']
 ['2' '122.43412259967535' 'marauded']
 ['2' '123.63013414308585' 'presentdestroyed']
 ['0' '126.84083327095212' 'presentdestroyed']
 ['0' '128.50849613861558' 'destroyed']
 ['2' '133.24204847338703' 'present']
 ['2' '133.7613517448509' 'present']
 ['2' '137.40251355082037' 'present']
 ['2' '145.29624404290587' 'marauded']
 ['0' '145.30057357775678' 'destroyed']
 ['2' '148.0260224926726' 'presentdestroyed']
 ['2' '154.78723329762667' 'present']
 ['0' '157.25646660567378' 'present']
 ['2' '158.92080794622262' 'present']
 ['0' '174.92556204382478' 'present']
 ['2' '184.5632296046434' 'marauded']
 ['0' '185.09472869147015' 'presentdestroyed']
 ['2' '193.03172850982307' 'present']
 ['0' '209.4388702200136' 'present']
 ['0' '223.729760740768' 'present']
 ['0' '226.49917320723534' 'present']
 ['2' '229.91445988751303' 'present']
 ['0' '260.04745685620037' 'present']
 ['0' '266.6615970341166' 'marauded']
 ['0' '281.92867049852134' 'present']
 ['0' '282.99907734697734' 'present']
 ['0' '299.94511497951737' 'marauded']
 ['0' '304.64340631093853' 'presentdestroyed']
 ['2' '305.17438325253465' 'presentdestroyed']
 ['2' '318.9517134714446' 'present']
 ['0' '323.3181202423717' 'present']
 ['0' '324.2337680874448' 'present']
 ['0' '328.10435858630444' 'present']
 ['2' '336.42219108180916' 'present']
 ['2' '343.61378617529647' 'present']
 ['0' '347.83226046919737' 'present']
 ['2' '356.151718743508' 'present']
 ['0' '356.7521543197173' 'present']
 ['2' '357.756960495371' 'present']
 ['0' '358.5137417248917' 'present']]","[['F27' '42.7950488854709' 'mated']
 ['F4' '42.80018003247557' 'mated']
 ['F11' '92.31557429196656' 'absent']
 ['F14' '111.99782086257744' 'mated']
 ['F5' '126.04877366097216' 'destroyed']
 ['F13' '151.62511472390136' 'absentdestroyed']
 ['F20' '155.71677315947736' 'absent']
 ['F34' '160.9988988288726' 'mated']
 ['F13' '163.63166200891234' 'mated']
 ['F21' '176.03182345805345' 'mated']
 ['F26' '217.15829836237768' 'mated']
 ['F31' '229.42001893705216' 'mated']
 ['F16' '272.00293215580126' 'destroyed']
 ['F15' '306.6057352547076' 'destroyed']
 ['F15' '318.61228253971865' 'absent']
 ['F15' '330.62018581185384' 'mated']]",0.0,100.0,579.0,70.0718315706392,14.940127032895125,1473.0,245.35795351490353,51.63607139054664,252.0,42.9612549035198,9.165499907644778,13.0,1.3,0.13000000000000006,76.0,0.4036285471484891,0.002207647462277091
2,0.054,8,360.40953535793864,"[['0' '1.4533898296529582' 'present']
 ['0' '5.664297875905694' 'present']
 ['1' '14.242922108634874' 'marauded']
 ['1' '16.26555181159847' 'presentdestroyed']
 ['0' '18.082387961489726' 'presentdestroyed']
 ['1' '20.828267170966487' 'presentdestroyed']
 ['0' '27.779273955351353' 'present']
 ['0' '50.61855682356341' 'present']
 ['0' '50.790081249587494' 'present']
 ['1' '56.57374797597403' 'present']
 ['1' '57.55875787703946' 'present']
 ['0' '57.8358742802614' 'present']
 ['1' '58.029463373698896' 'present']
 ['0' '61.4267286239033' 'present']
 ['0' '63.7545213505561' 'present']
 ['1' '63.79855348371738' 'present']
 ['0' '66.56405849109483' 'present']
 ['0' '67.11639254428853' 'present']
 ['0' '68.10162524623257' 'marauded']
 ['1' '68.3253150292905' 'presentdestroyed']
 ['0' '73.95642331071753' 'presentdestroyed']
 ['0' '80.20190348548567' 'marauded']
 ['0' '82.02506289069588' 'presentdestroyed']
 ['1' '89.81597494138654' 'present']
 ['1' '91.52361686734925' 'marauded']
 ['0' '98.64382215844147' 'presentdestroyed']
 ['0' '99.30189334375831' 'presentdestroyed']
 ['0' '120.93176554965241' 'present']
 ['0' '130.8685639765491' 'present']
 ['0' '132.76387988050647' 'present']
 ['1' '136.60497610381026' 'present']
 ['1' '161.6121595957355' 'present']
 ['0' '162.9989304406323' 'present']
 ['1' '163.97373362104807' 'marauded']
 ['0' '169.05306404669275' 'presentdestroyed']
 ['1' '169.4830498626467' 'destroyed']
 ['0' '169.5509330567776' 'destroyed']
 ['0' '171.44353461857602' 'present']
 ['0' '187.01026971917045' 'present']
 ['0' '193.14632320076814' 'present']
 ['1' '194.001405811822' 'marauded']
 ['1' '194.60038586570047' 'presentdestroyed']
 ['0' '208.77000183456443' 'present']
 ['0' '210.76193892058762' 'marauded']
 ['1' '213.71441850595556' 'destroyed']
 ['0' '223.26632876724196' 'present']
 ['0' '242.64614804677072' 'present']
 ['1' '249.3343418099936' 'marauded']
 ['1' '258.3011124194686' 'present']
 ['0' '267.5110414477412' 'present']
 ['1' '287.47946512280265' 'present']
 ['1' '294.9923084692877' 'marauded']
 ['0' '306.7387402416398' 'present']
 ['0' '309.3857867554223' 'marauded']
 ['1' '316.1778328793242' 'presentdestroyed']
 ['1' '316.18438016433527' 'presentdestroyed']
 ['0' '322.93088402209503' 'present']
 ['0' '330.47827383813404' 'present']
 ['0' '333.0440592733684' 'present']
 ['1' '347.6560589829884' 'present']
 ['1' '350.43540507407005' 'present']
 ['0' '356.2128087121673' 'present']
 ['1' '356.3639508806798' 'present']
 ['1' '359.71955181215606' 'present']]","[['F22' '63.309130191498134' 'mated']
 ['F5' '138.05204730347765' 'mated']
 ['F13' '151.62838836640685' 'absent']
 ['F7' '234.6079924960678' 'mated']
 ['F25' '243.85418323272978' 'mated']
 ['F24' '247.66488055009668' 'mated']
 ['F3' '249.3834421884268' 'absentdestroyed']
 ['F30' '262.25203660017155' 'mated']
 ['F6' '282.08541604721535' 'mated']
 ['F29' '293.98983290213545' 'mated']
 ['F15' '318.60900889721313' 'absent']
 ['F15' '318.61555618222417' 'absent']]",100.0,0.0,570.0,73.61534809224301,14.970803264426078,1362.0,224.24895577172578,47.40877706973875,366.0,61.01037877383522,12.925158499819169,8.0,0.7999999999999999,0.08000000000000002,73.0,0.38590434749688635,0.0021004801097393674
3,0.0,8,360.24874272071594,"[['0' '1.976691364290124' 'present']
 ['0' '12.327555598754422' 'present']
 ['2' '12.39641872298193' 'present']
 ['0' '14.195316918377163' 'present']
 ['0' '29.985594117559017' 'marauded']
 ['2' '34.12633695982263' 'presentdestroyed']
 ['2' '36.36561684988986' 'presentdestroyed']
 ['1' '45.835190523922854' 'present']
 ['0' '47.39022343060432' 'marauded']
 ['0' '53.98757712371759' 'presentdestroyed']
 ['1' '56.45495736616154' 'present']
 ['0' '57.885894633481385' 'present']
 ['1' '71.41633781627887' 'present']
 ['0' '102.39991511095982' 'marauded']
 ['0' '130.98392663818422' 'present']
 ['0' '133.25740333001937' 'marauded']
 ['2' '135.9810137971941' 'presentdestroyed']
 ['1' '136.59938764648996' 'presentdestroyed']
 ['0' '137.78368774749606' 'presentdestroyed']
 ['0' '137.98293475668382' 'presentdestroyed']
 ['0' '138.72313872757414' 'presentdestroyed']
 ['2' '147.21304701075982' 'present']
 ['2' '147.21767664038944' 'present']
 ['2' '153.50006755391684' 'marauded']
 ['2' '156.2212452070136' 'presentdestroyed']
 ['0' '158.43255097652903' 'destroyed']
 ['0' '165.99532251439882' 'present']
 ['0' '168.15342582902483' 'marauded']
 ['0' '172.5173520335936' 'presentdestroyed']
 ['2' '174.58811180279187' 'presentdestroyed']
 ['1' '176.71565204403493' 'present']
 ['0' '180.84013699582027' 'marauded']
 ['1' '182.06615936819486' 'presentdestroyed']
 ['2' '183.55674595689368' 'presentdestroyed']
 ['2' '190.06098630862607' 'present']
 ['2' '190.24825860879176' 'present']
 ['0' '194.90554075832756' 'present']
 ['0' '197.48365553689837' 'present']
 ['0' '207.41976824436793' 'present']
 ['2' '209.94594944910364' 'present']
 ['2' '210.15909757271453' 'present']
 ['1' '214.67078533538398' 'present']
 ['2' '219.2207878857163' 'present']
 ['0' '220.0335481079895' 'present']
 ['2' '225.1702190134754' 'present']
 ['2' '231.36990438684688' 'present']
 ['1' '231.54363675993818' 'marauded']
 ['1' '238.27120982194154' 'destroyed']
 ['1' '239.28684399877497' 'present']
 ['2' '242.00853940909943' 'present']
 ['2' '246.39715873656135' 'present']
 ['1' '248.10718073868657' 'present']
 ['0' '253.51197541954565' 'present']
 ['0' '258.16511871223867' 'present']
 ['0' '259.73626324401965' 'present']
 ['0' '266.870431234143' 'marauded']
 ['2' '267.6484609920131' 'presentdestroyed']
 ['0' '268.7683799746297' 'presentdestroyed']
 ['0' '269.6967875026944' 'destroyed']
 ['2' '269.8379381618493' 'destroyed']
 ['2' '271.3277534685095' 'destroyed']
 ['2' '272.16454802778793' 'presentdestroyed']
 ['1' '274.5957354995269' 'presentdestroyed']
 ['1' '274.60036512915656' 'presentdestroyed']
 ['0' '276.2027744115516' 'present']
 ['1' '277.9541536196579' 'marauded']
 ['1' '282.1458131900483' 'destroyed']
 ['1' '282.4021997339984' 'presentdestroyed']
 ['0' '284.08302202966263' 'presentdestroyed']
 ['2' '289.2793400589933' 'marauded']
 ['0' '289.72344987092697' 'presentdestroyed']
 ['0' '303.21829021285834' 'present']
 ['2' '303.6231419139456' 'present']
 ['0' '304.4642382830935' 'marauded']
 ['1' '315.65668804980055' 'marauded']
 ['0' '324.8380191794432' 'present']
 ['0' '325.831548688171' 'marauded']
 ['1' '330.2762530303028' 'presentdestroyed']
 ['1' '334.89969826683455' 'marauded']
 ['1' '335.8384445045765' 'presentdestroyed']
 ['0' '349.2680019151505' 'present']
 ['1' '351.0006536736436' 'present']
 ['1' '355.176084271148' 'present']
 ['2' '356.86108738330324' 'marauded']]","[['F4' '42.79786521766076' 'absent']
 ['F11' '92.31788910678137' 'mated']
 ['F23' '96.87056588869734' 'mated']
 ['F28' '112.95685854706542' 'mated']
 ['F17' '117.98190540736081' 'mated']
 ['F1' '179.06251432134584' 'mated']
 ['F0' '219.30997190503115' 'mated']
 ['F18' '240.5194871753303' 'mated']
 ['F3' '249.38575700324162' 'mated']
 ['F9' '261.71494710880165' 'absent']
 ['F6' '270.0831012324005' 'destroyed']
 ['F15' '306.6034204398928' 'destroyed']
 ['F15' '330.617870997039' 'absentdestroyed']]",100.0,100.0,566.0,70.66782218370653,14.417010450588881,1136.0,195.56905530332713,42.57748035842414,564.0,93.95231448637433,19.73149382337654,0.0,0.0,0.0,0.0,0.0,0.0
