id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.018,6,360.528785616,13.1017858272,1016.26044311,552.0,74.4841876482,16.1245686576,1652.0,276.792946368,59.2731515824,47.0,8.18244726609,1.79575782109,3.0,0.3,0.03,21.0,0.444344739477,0.0131777441467
1,0.0,9,360.072346178,941.602922932,851.77876114,558.0,69.250233131,13.8916308951,1558.0,265.911620525,57.9224150691,141.0,24.9054027854,5.72545423649,0.0,0.0,0.0,0.0,0.0,0.0
2,0.018,13,360.636650205,1285.5873761,1810.55901802,581.0,70.9043603793,14.8003959298,1560.0,262.539995522,56.4258219638,160.0,24.880384269,5.10205544951,13.0,1.3,0.13,25.0,0.49559092271,0.0105924113772
3,0.018,9,360.278937537,1152.72660354,913.2413606,548.0,68.7648558982,13.7979433592,1623.0,273.437684931,58.2387052077,104.0,16.4819499492,3.50092582035,7.0,0.7,0.07,33.0,0.762938471769,0.0231082134461
4,0.018,5,360.377360255,1412.09692592,2106.55197324,551.0,73.2385222698,16.2818974463,1561.0,260.770247942,55.6140343921,146.0,24.9146171981,5.29678669126,5.0,0.5,0.05,31.0,0.583197498294,0.0152798653577
5,0.018,10,359.893104076,422.712797487,1898.66409539,554.0,70.4555608806,15.0684254002,1603.0,271.486428583,58.340424015,96.0,16.5584757946,3.4959019932,8.0,0.8,0.08,31.0,0.718002994205,0.0200599343854
6,0.018,15,359.888680573,1048.90173733,1087.22201332,576.0,70.809194131,15.3251142474,1570.0,267.942102115,57.3598496286,123.0,20.2844440462,4.21367758934,4.0,0.4,0.04,26.0,0.631388830059,0.0188466530871
7,0.018,10,360.222693477,87.5772337533,1393.27684674,572.0,70.5617764885,14.0199813639,1584.0,272.537481831,59.1943378692,97.0,16.3833153019,3.48869708539,0.0,0.0,0.0,23.0,0.517738531187,0.0128758680165
8,0.018,12,360.384312294,1716.77991623,1707.0763898,554.0,69.4848519843,16.1139499891,1566.0,264.832206594,56.0360791025,136.0,24.736017418,5.74459813235,5.0,0.5,0.05,36.0,0.741611489905,0.0175375500357
9,0.018,7,360.28687827,674.419398704,1997.90070106,574.0,69.5338400719,14.0136479927,1565.0,264.417885775,56.8876467208,150.0,24.8038672676,5.28190356636,7.0,0.7,0.07,30.0,0.61299433792,0.014597318493
10,0.018,16,360.426015862,1323.13930043,180.839447559,567.0,67.2547774187,13.4720720505,1587.0,271.502245266,57.7862156295,122.0,20.7350676282,4.58904892913,2.0,0.2,0.02,26.0,0.422999707819,0.00969289536007
11,0.018,7,359.981733597,748.44643968,597.645348263,563.0,72.7095228366,15.768809774,1514.0,253.88787158,54.5692100131,201.0,32.741977517,6.70241151584,1.0,0.1,0.01,25.0,0.583023306578,0.0169253877325
12,0.018,9,360.15598856,1007.85625679,1381.68632054,568.0,67.2632093495,12.8956912133,1635.0,279.091626061,60.6875769973,76.0,12.1307818506,2.54931637335,7.0,0.7,0.07,34.0,0.856243974977,0.0257965439772
13,0.018,9,360.276822066,1686.75035325,549.852231619,559.0,73.0224908892,17.1021552654,1656.0,277.502733262,59.3602492021,53.0,8.11579863423,1.50599527654,10.0,1.0,0.1,36.0,0.656805408563,0.0156152921466
14,0.018,11,360.074738506,1869.73724601,1353.16629696,556.0,71.9220612723,14.9688900348,1626.0,282.767986072,61.3346465674,26.0,4.25877481491,0.956634444755,6.0,0.6,0.06,26.0,0.59779480512,0.0173959575711
15,0.0,13,360.261234928,1136.42376978,2006.40484493,558.0,69.240943197,14.4036876251,1627.0,278.621768123,60.4164913945,66.0,12.3296784997,2.88113021399,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,10,360.416067836,1489.85761287,1276.00535576,576.0,70.5630418984,14.3819856391,1579.0,256.936039198,53.1702420094,194.0,32.7032834169,6.88072840352,0.0,0.0,0.0,0.0,0.0,0.0
17,0.018,16,360.199551288,1028.77177136,304.371002176,567.0,69.7941862416,15.8358235181,1592.0,276.801491468,60.2161644656,75.0,12.4465281774,2.68680741298,4.0,0.4,0.04,27.0,0.643233524996,0.0191425501715
18,0.018,6,360.398908992,169.891202306,1932.0327529,552.0,69.2345808345,14.5824214435,1641.0,281.530717763,61.5136507012,46.0,8.18687607441,1.85884382359,4.0,0.4,0.04,24.0,0.70586788689,0.0275409070742
19,0.018,10,360.543320739,751.548747775,1252.10397692,566.0,74.6581390135,15.7539315607,1520.0,255.774247857,54.7546059996,163.0,28.6542633887,6.21364991643,3.0,0.3,0.03,31.0,0.66051041091,0.0171527698788
20,0.0,9,360.309320927,1671.49765129,892.714633458,566.0,71.3911950789,14.410604564,1652.0,280.581611122,60.6110496604,45.0,8.08887686081,1.85687834298,0.0,0.0,0.0,0.0,0.0,0.0
