id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,8,360.50140368135203,"[['9' '3.738830800755609' 'present']
 ['13' '45.11121722293449' 'present']
 ['4' '45.94378997662418' 'present']
 ['7' '48.362438368337656' 'present']
 ['7' '124.51302440579276' 'present']
 ['12' '131.88812888171063' 'marauded']
 ['4' '132.8981175910607' 'presentdestroyed']
 ['13' '133.29687612813413' 'presentdestroyed']
 ['13' '138.99459060953518' 'presentdestroyed']
 ['7' '140.51373207383202' 'present']
 ['13' '147.1391441805754' 'marauded']
 ['4' '165.214672227754' 'present']
 ['7' '165.95856515123592' 'present']
 ['13' '168.2868772688325' 'present']
 ['13' '172.3912490321605' 'present']
 ['7' '173.84609584029513' 'present']
 ['7' '174.78099842359498' 'present']
 ['9' '199.1744622113104' 'present']
 ['13' '202.7743998285905' 'marauded']
 ['9' '211.25097724794944' 'present']
 ['12' '258.7777052660768' 'marauded']
 ['13' '261.3040473848725' 'presentdestroyed']
 ['12' '270.6927433830659' 'marauded']
 ['7' '279.04928961749056' 'present']
 ['7' '286.38711876067686' 'present']
 ['7' '286.7117113464001' 'present']
 ['4' '326.67576586195844' 'present']
 ['4' '335.00015560448776' 'present']
 ['7' '336.73856407811786' 'marauded']]","[['F21' '47.488764184844825' 'absent']
 ['F107' '102.64029749139952' 'mated']
 ['F141' '136.19511013413566' 'absentdestroyed']
 ['F133' '174.20796162821796' 'mated']
 ['F174' '202.89968029424767' 'absentdestroyed']
 ['F75' '217.55477521709327' 'absent']
 ['F205' '223.05933104359144' 'mated']
 ['F211' '232.19261705285268' 'absent']
 ['F130' '237.21273042301507' 'mated']
 ['F90' '246.98660538979883' 'absent']
 ['F203' '251.94058875339877' 'mated']
 ['F199' '268.4518818070569' 'mated']
 ['F80' '271.27623069782726' 'destroyed']
 ['F80' '271.2901195867162' 'destroyed']
 ['F9' '282.44451513868563' 'mated']
 ['F52' '300.058951007784' 'mated']
 ['F73' '312.3511799612253' 'absent']]",0.0,0.0,571.0,70.06706992003606,15.175968790286623,1476.0,253.43944023436023,55.141462450525374,215.0,36.52104417641617,7.737140838263376,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,8,360.56031551243797,"[['13' '11.1685600581498' 'marauded']
 ['9' '25.94551568539092' 'present']
 ['13' '30.787895981013367' 'marauded']
 ['13' '42.193334132372826' 'present']
 ['7' '46.26049197202198' 'present']
 ['13' '48.39426519855669' 'marauded']
 ['13' '95.89725739330827' 'present']
 ['7' '113.32000934289984' 'marauded']
 ['13' '122.48469444549845' 'present']
 ['9' '132.34001211520078' 'marauded']
 ['4' '138.30633164699006' 'presentdestroyed']
 ['13' '144.2653329480637' 'present']
 ['9' '146.24447723273624' 'present']
 ['13' '183.34695222722834' 'present']
 ['13' '184.77219679975252' 'present']
 ['9' '217.29569075820933' 'present']
 ['9' '220.1767469719886' 'marauded']
 ['12' '233.4672579900345' 'present']
 ['4' '246.6122403515013' 'present']
 ['9' '249.03257597809673' 'present']
 ['4' '260.03498443620754' 'present']
 ['9' '279.6613344498542' 'present']
 ['9' '295.3754021492217' 'present']
 ['12' '298.6048942623682' 'marauded']
 ['13' '317.11268109208737' 'present']
 ['13' '354.0357360725597' 'present']]","[['F191' '65.22686295917124' 'mated']
 ['F157' '72.26163665681662' 'mated']
 ['F99' '105.30344003249058' 'mated']
 ['F82' '166.37893742794785' 'mated']
 ['F113' '208.02866580576284' 'mated']
 ['F185' '219.87612613721458' 'mated']
 ['F129' '224.7761259433632' 'destroyed']
 ['F132' '261.2343232574148' 'mated']
 ['F80' '271.292434401531' 'mated']
 ['F117' '300.6821627868167' 'destroyed']
 ['F120' '330.3121986277809' 'absent']]",0.0,100.0,561.0,70.52752015874727,15.241734829643583,1454.0,247.2005321800342,52.652779692424836,246.0,42.53218971184529,9.211211845542175,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,11,360.98598783733667,"[['9' '1.993960226865154' 'present']
 ['12' '25.02641978716196' 'present']
 ['12' '42.25847487665469' 'marauded']
 ['12' '62.095912166331416' 'marauded']
 ['4' '85.36650758220648' 'present']
 ['4' '112.7723781263678' 'present']
 ['7' '134.4723588242518' 'marauded']
 ['9' '144.05058912966902' 'present']
 ['4' '154.19259224796514' 'present']
 ['9' '200.66403271831587' 'present']
 ['9' '270.9108932417068' 'present']
 ['9' '282.52378301487823' 'present']
 ['13' '324.37922355894904' 'present']
 ['13' '330.9716950621968' 'present']
 ['9' '335.4441494097533' 'present']]","[['F24' '64.36989494510154' 'destroyed']
 ['F171' '72.9664512912682' 'mated']
 ['F56' '78.54360222955395' 'mated']
 ['F27' '89.35448099124363' 'mated']
 ['F106' '98.64604532201591' 'absent']
 ['F55' '117.98825943315029' 'mated']
 ['F194' '131.87877103691682' 'mated']
 ['F74' '133.9733187097097' 'mated']
 ['F197' '165.19772300034302' 'absent']
 ['F29' '203.39543439099293' 'mated']
 ['F212' '203.76541962929258' 'mated']
 ['F75' '217.55940484672288' 'mated']
 ['F8' '225.4933390005252' 'absent']
 ['F90' '246.99123501942844' 'mated']
 ['F33' '276.7184881641249' 'mated']]",0.0,200.0,559.0,70.59511276259381,14.695714268870542,1629.0,271.4258242484936,58.228065762390464,107.0,18.415311780313257,4.103273620732952,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,11,360.06793549572194,"[['4' '29.971081818247352' 'marauded']
 ['13' '66.39080952111108' 'present']
 ['4' '87.087000606896' 'present']
 ['7' '87.73138070545617' 'marauded']
 ['4' '112.38962076605468' 'marauded']
 ['12' '118.10618059430865' 'presentdestroyed']
 ['13' '121.79892600616478' 'present']
 ['13' '145.66049354645727' 'present']
 ['9' '152.55073963749538' 'present']
 ['7' '157.91653251391824' 'present']
 ['9' '178.83292139016652' 'present']
 ['12' '204.89916864805863' 'present']
 ['9' '252.14372880779126' 'present']
 ['9' '254.07796614370062' 'present']
 ['4' '298.9111751852492' 'marauded']
 ['13' '301.29895742788693' 'presentdestroyed']
 ['4' '301.74300136888274' 'presentdestroyed']
 ['4' '324.75740805786825' 'present']
 ['13' '325.5345921269919' 'present']
 ['12' '358.3836458047002' 'present']]","[['F24' '64.37834467088828' 'mated']
 ['F118' '84.16251378244921' 'mated']
 ['F89' '95.89338285884953' 'absent']
 ['F159' '98.59395941045926' 'mated']
 ['F166' '107.85480287213691' 'mated']
 ['F98' '121.13216185979809' 'mated']
 ['F141' '136.19742494895047' 'mated']
 ['F190' '181.4898357322718' 'absent']
 ['F110' '207.67530002445233' 'mated']
 ['F192' '221.10720315729304' 'mated']
 ['F129' '224.76957865835223' 'absent']
 ['F17' '229.42024805759053' 'mated']
 ['F198' '235.81913307735115' 'mated']
 ['F0' '251.9546236794466' 'mated']
 ['F168' '262.0427015342836' 'absent']]",0.0,300.0,561.0,71.57177123251475,15.023691025809518,1544.0,264.3306584269852,57.80145594862761,136.0,24.191987003354164,5.396389242388036,0.0,0.0,0.0,0.0,0.0,0.0
4,0.054,2,360.1745676219041,"[['13' '16.219278302276653' 'present']
 ['13' '19.515063869287133' 'marauded']
 ['12' '58.97978974356572' 'marauded']
 ['7' '67.66347897337833' 'present']
 ['7' '67.727086798315' 'present']
 ['13' '71.39066104943421' 'present']
 ['13' '102.28750719745592' 'present']
 ['12' '112.86822494731126' 'present']
 ['13' '125.27451676913267' 'present']
 ['7' '141.6902329862591' 'marauded']
 ['7' '155.30024235769298' 'present']
 ['12' '156.92568452711967' 'marauded']
 ['12' '160.13827882619398' 'destroyed']
 ['7' '173.58435038153988' 'marauded']
 ['9' '199.6977964274256' 'marauded']
 ['13' '204.9409115451478' 'presentdestroyed']
 ['12' '213.2383779587355' 'present']
 ['7' '233.20985380054867' 'marauded']
 ['12' '255.77484198741527' 'present']
 ['12' '298.71684397917414' 'present']
 ['13' '325.5481143937812' 'present']
 ['9' '329.3840552990921' 'present']
 ['7' '333.4908336467701' 'present']
 ['7' '358.67326384476274' 'present']]","[['F157' '72.25836301431113' 'absent']
 ['F141' '136.19279531932085' 'absent']
 ['F94' '176.1666610782656' 'absentdestroyed']
 ['F123' '239.04321258471893' 'destroyed']
 ['F34' '263.5561286715551' 'mated']
 ['F86' '264.6081545292336' 'mated']]",100.0,0.0,567.0,71.11308431286571,15.57096999759027,1420.0,243.7645173029257,52.7878138380388,257.0,42.68293759171436,9.038811394957392,17.0,1.7000000000000004,0.1700000000000001,84.0,0.7696654943990913,0.007887517146776412
5,0.0,9,359.8414442452469,"[['13' '26.42402872499704' 'present']
 ['13' '29.803261495421886' 'present']
 ['13' '72.04831331144375' 'present']
 ['12' '80.54230443777008' 'present']
 ['4' '94.86669209814069' 'present']
 ['12' '111.24307965803932' 'present']
 ['7' '111.82012503684479' 'marauded']
 ['7' '142.4157346345172' 'marauded']
 ['13' '153.08916446600807' 'marauded']
 ['9' '183.19795678917987' 'present']
 ['13' '201.38941383749759' 'present']
 ['9' '242.04758533729486' 'present']
 ['13' '249.31888766617453' 'present']
 ['13' '278.3137029190177' 'present']
 ['12' '302.7655440254691' 'marauded']
 ['4' '304.48262599620233' 'destroyed']
 ['9' '334.76664819246383' 'present']
 ['9' '356.4155436229052' 'present']]","[['F21' '47.50071390165077' 'mated']
 ['F24' '64.37316858760703' 'absent']
 ['F157' '72.25277455699083' 'absent']
 ['F160' '76.45394237847373' 'mated']
 ['F12' '101.1918211274856' 'mated']
 ['F83' '108.01412857856238' 'mated']
 ['F98' '121.1232997599723' 'absent']
 ['F28' '132.38076297044236' 'mated']
 ['F178' '137.63182518034745' 'mated']
 ['F139' '141.07320831886236' 'mated']
 ['F23' '157.31713276340736' 'destroyed']
 ['F47' '199.88105032286555' 'mated']
 ['F174' '202.90295393675316' 'mated']
 ['F210' '267.89687160613954' 'absent']
 ['F177' '347.14230461970965' 'absent']]",100.0,100.0,565.0,71.61612030801624,14.251996044328347,1592.0,264.14923121714963,56.02741786327487,148.0,24.290341710087798,5.1548581905028446,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,9,360.2892931688129,"[['7' '6.216196656216955' 'present']
 ['7' '13.085651954711025' 'present']
 ['4' '35.8646554706715' 'present']
 ['9' '82.95163763766803' 'present']
 ['12' '94.61249373704904' 'present']
 ['12' '95.95563563333417' 'present']
 ['9' '97.28441019739722' 'present']
 ['9' '100.65041425675231' 'present']
 ['9' '113.81528440158783' 'marauded']
 ['7' '125.2889151879975' 'present']
 ['12' '132.40577706826193' 'marauded']
 ['9' '151.0547134211256' 'present']
 ['13' '159.74929789078078' 'present']
 ['13' '170.62814793061966' 'present']
 ['7' '190.56094882884997' 'present']
 ['4' '211.0482694894454' 'present']
 ['13' '224.51310064995917' 'present']
 ['4' '300.60933120134064' 'present']
 ['12' '310.07922286198993' 'marauded']
 ['4' '321.1023464635446' 'present']
 ['13' '326.3468353089354' 'present']]","[['F4' '24.18640471491111' 'mated']
 ['F115' '115.15931764326007' 'destroyed']
 ['F187' '129.80938998160534' 'mated']
 ['F5' '134.66514713952404' 'destroyed']
 ['F144' '161.94935258188193' 'mated']
 ['F208' '215.66867031972308' 'mated']
 ['F92' '235.5629846297101' 'mated']
 ['F173' '249.09841373159057' 'mated']
 ['F67' '255.229878541348' 'mated']
 ['F51' '260.8235629324585' 'mated']
 ['F182' '288.62102981586446' 'mated']
 ['F52' '300.05377492450276' 'absent']
 ['F73' '312.34600387794404' 'destroyed']]",100.0,200.0,565.0,72.88200909274322,15.874534759234995,1589.0,268.82072277877893,57.62058209789265,113.0,18.47022318864666,3.953880261767534,0.0,0.0,0.0,0.0,0.0,0.0
7,0.054,6,360.0964783733048,"[['13' '1.8132927243068184' 'present']
 ['9' '26.335343229965222' 'present']
 ['4' '77.87950392214223' 'present']
 ['13' '85.04990660003028' 'present']
 ['9' '89.20821595720754' 'present']
 ['13' '92.33681835562437' 'marauded']
 ['12' '92.85310256846707' 'destroyed']
 ['12' '126.55674493871372' 'present']
 ['4' '164.529491783655' 'present']
 ['13' '201.16091323306668' 'present']
 ['4' '230.8924479953582' 'present']
 ['12' '251.9861292961972' 'present']
 ['12' '252.4049470640526' 'marauded']
 ['12' '264.74831856428665' 'present']
 ['4' '355.5953903261215' 'present']]","[['F89' '95.89569767366434' 'destroyed']
 ['F106' '98.6493189645214' 'destroyed']
 ['F91' '149.48227737786144' 'mated']
 ['F64' '162.8440306441006' 'mated']
 ['F96' '193.35241567354848' 'mated']
 ['F211' '232.20951650442615' 'mated']
 ['F60' '243.71338968248503' 'mated']
 ['F42' '253.27506088915442' 'absentdestroyed']
 ['F182' '276.5964131176812' 'absent']
 ['F201' '293.6307793199573' 'mated']]",100.0,300.0,561.0,70.44401937687006,14.751485673778287,1604.0,274.80205190412755,58.950289473346785,68.0,12.10127817429359,2.653012629960936,20.0,2.0000000000000004,0.20000000000000012,87.0,0.7853267278732659,0.008166152263374488
8,0.0,8,360.18358925141,"[['9' '13.048406591648373' 'present']
 ['9' '14.51453433061625' 'marauded']
 ['13' '23.55004414205676' 'present']
 ['7' '34.51266692081863' 'present']
 ['12' '42.89495442123499' 'marauded']
 ['7' '59.8468187821995' 'present']
 ['7' '65.9443407155972' 'present']
 ['9' '68.74184174608597' 'present']
 ['12' '77.97561785500373' 'marauded']
 ['7' '105.86850675188698' 'marauded']
 ['9' '114.77778659311396' 'present']
 ['12' '144.86970584180423' 'marauded']
 ['12' '179.13810145749454' 'present']
 ['9' '225.4087068356083' 'present']
 ['9' '242.29070060363688' 'present']
 ['4' '248.53992942423915' 'marauded']
 ['4' '257.59992549777616' 'present']
 ['7' '271.6548371782633' 'present']
 ['9' '273.3051349732681' 'present']
 ['9' '275.22185573881416' 'present']
 ['12' '357.1737571019645' 'present']]","[['F140' '2.1745111654253773' 'mated']
 ['F189' '64.48183271852818' 'mated']
 ['F171' '72.95990400625722' 'absent']
 ['F136' '89.23101483427291' 'mated']
 ['F147' '120.48812684275518' 'absent']
 ['F3' '174.9912682224601' 'mated']
 ['F211' '232.18798742322306' 'absent']
 ['F105' '247.935513836829' 'mated']
 ['F126' '322.3664231959878' 'mated']
 ['F103' '335.4002198435698' 'mated']
 ['F200' '343.70159607208075' 'mated']]",200.0,0.0,566.0,72.7984475349384,15.906696736618787,1481.0,250.521892769565,53.8929926543852,198.0,36.71458407791112,8.521410284815346,0.0,0.0,0.0,0.0,0.0,0.0
9,0.054,11,360.64391771905764,"[['4' '5.437538598365113' 'present']
 ['7' '8.8178327007381' 'present']
 ['13' '31.95645035033203' 'marauded']
 ['13' '50.34294390525155' 'present']
 ['4' '74.06289462076786' 'present']
 ['12' '152.59521756115862' 'present']
 ['13' '153.57024089756175' 'marauded']
 ['4' '165.68094190578103' 'marauded']
 ['7' '190.22607021774172' 'present']
 ['4' '194.4124230371331' 'present']
 ['4' '229.5824625787835' 'present']
 ['12' '261.69550043590965' 'marauded']
 ['13' '271.99481786647203' 'present']
 ['4' '279.1466815355018' 'present']
 ['4' '295.3150223141679' 'present']
 ['12' '304.4353096861848' 'present']
 ['12' '316.92079926493346' 'marauded']
 ['12' '325.30680525460224' 'present']
 ['7' '332.540842191263' 'present']
 ['12' '334.63907012424164' 'present']
 ['13' '337.9878152976768' 'present']]","[['F39' '8.260733205886629' 'mated']
 ['F157' '72.25508937180564' 'absent']
 ['F108' '80.14021370152803' 'mated']
 ['F180' '134.24490107607969' 'mated']
 ['F101' '174.44197872147146' 'mated']
 ['F76' '184.03523501800623' 'mated']
 ['F209' '209.24489219504977' 'absent']
 ['F214' '213.87923471929963' 'mated']
 ['F26' '214.30317635843537' 'mated']
 ['F79' '216.7707327727735' 'mated']
 ['F14' '225.70951952809042' 'absent']
 ['F211' '232.2043404211449' 'absent']
 ['F85' '310.24604278257993' 'mated']
 ['F88' '313.20499030612626' 'absent']
 ['F32' '329.5432117374949' 'mated']
 ['F120' '330.3168282574105' 'mated']
 ['F102' '354.7693894467222' 'absent']]",200.0,100.0,552.0,73.63590145171092,16.353822770255793,1527.0,254.35588923764703,53.80346052991702,171.0,30.41290120473514,6.690401778867568,12.0,1.2,0.12000000000000005,93.0,0.8045097497125749,0.00784465020576132
