id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,6,359.98278316643734,0.0,0.0,573.0,68.48876927338056,15.133727152104038,1657.0,279.58246225388456,60.21148490377184,68.0,12.212581154740963,2.7226163176964215,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,6,360.35714791453734,0.0,100.0,564.0,72.74778757785539,15.861392324921868,1625.0,275.17608391218744,58.98612088320807,72.0,12.25586022732099,2.4626032921882604,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,9,360.2741948323113,0.0,200.0,574.0,72.17798894225265,15.469812051914397,1621.0,275.60373639703863,58.50978650964157,70.0,12.275434715809054,2.649741267605023,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,12,360.2412845629812,0.0,300.0,573.0,72.6231819723168,15.529575729902799,1701.0,287.5705079952615,61.71066890065494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,7,360.13446665461504,100.0,0.0,568.0,70.1472784430967,14.375763553882736,1629.0,277.92794873486133,59.76996835063229,76.0,12.077307736659833,2.27472759890363,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,6,360.2770895894088,100.0,100.0,575.0,70.912801292239,14.230973765956225,1685.0,283.23251363968717,60.520419820497104,37.0,6.051399767253031,1.2628366280003829,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,9,360.0460083499647,100.0,200.0,563.0,68.94770141445368,14.211966167345127,1726.0,291.13208496166226,61.4199891490698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,6,360.1437401729872,100.0,300.0,565.0,66.55408059254367,13.44524691726849,1635.0,275.253760883493,59.17090806988481,108.0,18.232862472493935,3.8499367135063345,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,8,359.8602502101039,200.0,0.0,572.0,68.87397653142337,13.290171877609005,1617.0,279.11867586570935,60.74306295276167,75.0,12.105412398390596,2.4493933259375447,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,13,360.269822407694,200.0,100.0,553.0,75.75422970296555,17.34176844290056,1534.0,259.7317381293252,56.08313616780353,156.0,24.605384781000037,4.864378278623084,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,12,360.251477821778,200.0,200.0,567.0,70.74944259085106,14.10679534530653,1590.0,271.1247531713765,58.76187717223653,103.0,18.18415949679513,4.0743890837209635,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,12,360.4873214478876,200.0,300.0,566.0,71.49471603701922,14.994636643696946,1721.0,288.5698557718622,61.55416435233727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,10,360.24633793263547,300.0,0.0,567.0,68.3706993028811,13.821550721852477,1702.0,285.5882122395217,61.11768823303981,30.0,6.084094479762359,1.4978221146691892,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,12,360.28531954092074,300.0,100.0,558.0,72.72515646192872,15.707417585485869,1648.0,275.4014336569595,58.36984255584007,69.0,12.104314025658878,2.686968086309228,0.0,0.0,0.0,0.0,0.0,0.0
14,0.054,10,360.17940026212773,300.0,200.0,562.0,73.6227710453202,16.455918123070884,1629.0,277.3991272048981,59.50879780972834,35.0,6.2918140814215535,1.363176930694956,18.0,1.8000000000000005,0.1800000000000001,104.0,0.9713524732628205,0.010416666666666673
15,0.0,10,360.34303293764515,300.0,300.0,562.0,73.46908902102246,15.07588763389755,1610.0,274.2967266635809,59.11075364161074,73.0,12.292418663943174,2.5590431283653556,0.0,0.0,0.0,0.0,0.0,0.0
16,0.054,8,360.12373578046004,400.0,0.0,574.0,70.79736764895556,14.003046405959164,1655.0,286.56957543228646,62.84220368189707,0.0,0.0,0.0,17.0,1.7000000000000004,0.1700000000000001,99.0,1.2163492265759146,0.01746827846364884
17,0.0,9,360.7298697377649,400.0,100.0,578.0,77.79083451268677,17.743162399653283,1645.0,276.2516651415587,58.35590664225291,34.0,6.0667573229520295,1.3952240874165174,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,15,360.02043391466634,400.0,200.0,559.0,70.2738516431628,15.425997299011446,1702.0,283.87705581974285,60.28168716624391,33.0,6.016781299714725,1.3488713142307753,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,9,360.1564400303397,400.0,300.0,579.0,67.28632401883455,12.928057873091165,1712.0,286.7642342352654,61.2237576410607,36.0,6.034904191182363,1.3169884567692753,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,5,360.0660997856155,500.0,0.0,569.0,69.23941867247058,14.374103393416243,1666.0,278.86728005538237,59.46971160604447,71.0,12.16235162510446,2.6179653633233206,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,5,360.43142254102924,500.0,100.0,569.0,68.8358606246769,13.2828166895213,1717.0,291.30802921637934,63.13980746030552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,9,360.47681856929233,500.0,200.0,577.0,70.76350814006727,15.380454192311598,1614.0,277.30025051419636,60.349122929138105,67.0,12.090677585021005,2.747920412576358,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,8,360.5494816658743,500.0,300.0,564.0,68.57732221539815,13.403081307032034,1692.0,285.446711795059,61.035303273454055,36.0,6.011798272099121,1.2818477021261119,0.0,0.0,0.0,0.0,0.0,0.0
