id,probability_maraud,successful_mating,next_foraging_time,mar_attempts,mate_attempts,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,6,360.00781606320635,"[['5' '2.919349357341028' 'present']
 ['3' '7.410723882822245' 'present']
 ['5' '9.9252563692221' 'present']
 ['3' '15.274100238461438' 'marauded']
 ['5' '17.729370381958123' 'presentdestroyed']
 ['3' '34.25510080879412' 'marauded']
 ['5' '35.90489783139802' 'destroyed']
 ['3' '37.91343614903796' 'presentdestroyed']
 ['3' '46.21867535097226' 'present']
 ['3' '55.48161986050054' 'present']
 ['5' '55.91434393644917' 'present']
 ['3' '56.8012824955624' 'present']
 ['3' '59.788176385748734' 'present']
 ['3' '68.02725132655291' 'marauded']
 ['3' '76.91266463168087' 'present']
 ['3' '82.0141935680261' 'present']
 ['5' '88.2536730124787' 'marauded']
 ['3' '90.73733230669022' 'presentdestroyed']
 ['3' '95.59744779510373' 'destroyed']
 ['5' '100.09954044427752' 'present']
 ['3' '118.24658343672144' 'present']
 ['5' '129.34184927554395' 'present']
 ['5' '142.61656285760952' 'present']
 ['5' '142.9961325974382' 'present']
 ['3' '143.47971353928602' 'present']
 ['3' '146.10571018112876' 'present']
 ['3' '149.12001735263823' 'present']
 ['5' '149.3974955574269' 'marauded']
 ['3' '150.82815738153235' 'presentdestroyed']
 ['3' '154.7391211728868' 'presentdestroyed']
 ['3' '161.4436732811658' 'present']
 ['5' '174.20138516701263' 'marauded']
 ['3' '174.85322963669665' 'destroyed']
 ['3' '190.1421072120566' 'present']
 ['3' '191.33367892492436' 'present']
 ['3' '202.06850998168102' 'marauded']
 ['3' '204.93712566894504' 'presentdestroyed']
 ['5' '213.31428540839295' 'present']
 ['5' '225.41778963193624' 'present']
 ['3' '227.5338426061497' 'present']
 ['3' '229.52550846394925' 'marauded']
 ['5' '230.9721355868702' 'destroyed']
 ['3' '238.89746394252478' 'marauded']
 ['3' '244.90435239744298' 'destroyed']
 ['5' '274.9129116083942' 'present']
 ['3' '290.8948868033271' 'present']
 ['3' '302.1321475068593' 'marauded']
 ['5' '308.15196643128445' 'presentdestroyed']
 ['3' '324.63512729126467' 'present']
 ['3' '341.80538040763224' 'present']
 ['3' '351.3155284323153' 'present']
 ['3' '353.40646890623174' 'present']
 ['3' '353.4296170543799' 'present']
 ['3' '353.45276520252804' 'present']]","[['F10' '57.23666525696515' 'absent']
 ['F53' '81.35294180854622' 'mated']
 ['F46' '89.04193163710218' 'destroyed']
 ['F7' '97.61949376201937' 'mated']
 ['F50' '123.60073853516866' 'absent']
 ['F50' '123.6334749602236' 'absent']
 ['F50' '123.65662310837175' 'absent']
 ['F6' '129.2687837975352' 'mated']
 ['F28' '139.63076249394106' 'mated']
 ['F16' '153.57591868681985' 'absentdestroyed']
 ['F20' '157.6425094656428' 'absent']
 ['F37' '208.05767973214253' 'absentdestroyed']
 ['F17' '213.25233821236648' 'mated']
 ['F52' '229.82734941838186' 'destroyed']
 ['F21' '231.0421541315147' 'destroyed']
 ['F18' '231.33978763445933' 'destroyed']
 ['F32' '348.8904997028615' 'mated']
 ['F66' '354.0132522024849' 'absent']
 ['F66' '354.05276856316056' 'absent']]",0.0,0.0,554.0,71.67190114367027,15.47226054802656,1327.0,227.7018297369202,49.19955092694818,351.0,60.868292023852284,13.09277976657962,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,10,360.05638881343503,"[['5' '9.09639721436135' 'present']
 ['5' '11.717295034974581' 'marauded']
 ['5' '11.84044318312273' 'presentdestroyed']
 ['3' '38.75946739779831' 'present']
 ['5' '64.0262533335066' 'present']
 ['3' '73.26138082836634' 'present']
 ['3' '75.08846849482649' 'present']
 ['3' '79.01431654783828' 'present']
 ['3' '84.60422482894046' 'present']
 ['3' '91.76342783422919' 'present']
 ['3' '97.70560354063794' 'marauded']
 ['5' '110.42433691765113' 'present']
 ['3' '115.12021079867104' 'present']
 ['5' '145.03338362957246' 'present']
 ['3' '193.18960070302128' 'present']
 ['5' '196.19725392632967' 'present']
 ['3' '220.00125892529985' 'present']
 ['3' '227.51069445800155' 'present']
 ['3' '233.35953719170035' 'present']
 ['5' '236.51703247386615' 'present']
 ['3' '239.02061209067293' 'present']
 ['3' '246.2854564012026' 'present']
 ['3' '248.54741954455852' 'present']
 ['5' '259.1945777249185' 'present']
 ['3' '265.6076323532615' 'present']
 ['3' '270.28592263699386' 'present']
 ['3' '272.32650126267697' 'marauded']
 ['3' '289.2794288098326' 'present']
 ['3' '300.7043002021014' 'present']
 ['3' '326.0252136229422' 'present']
 ['3' '327.92367965349683' 'present']
 ['5' '328.76107557264277' 'present']
 ['3' '333.17975237040855' 'present']
 ['3' '335.1831026704694' 'marauded']
 ['3' '346.19226783269403' 'present']
 ['3' '353.09750870525335' 'present']]","[['F46' '89.05829984962965' 'mated']
 ['F3' '90.71503165464658' 'mated']
 ['F7' '97.6031255494919' 'absent']
 ['F48' '99.36402711803936' 'destroyed']
 ['F43' '121.75279294435994' 'mated']
 ['F63' '122.51064017072378' 'mated']
 ['F2' '141.09165576489093' 'mated']
 ['F20' '157.66565761379096' 'mated']
 ['F51' '180.84040944329908' 'mated']
 ['F37' '208.01816337146693' 'absent']
 ['F34' '252.24616761504163' 'absent']
 ['F47' '271.1491963616786' 'mated']
 ['F55' '308.54511320628166' 'mated']
 ['F59' '345.842164348381' 'mated']]",0.0,500.0,567.0,70.70573815676147,15.762547263792625,1596.0,265.14498083869324,55.79714492019327,145.0,24.336987234857677,5.243638225415631,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,4,360.0137929655196,"[['5' '54.20265816839267' 'present']
 ['3' '59.12010824488437' 'present']
 ['5' '67.94767767503836' 'present']
 ['5' '68.11364441594094' 'present']
 ['5' '79.73333534473582' 'present']
 ['5' '81.3344263604104' 'present']
 ['5' '81.76200420046841' 'marauded']
 ['5' '88.7844162264864' 'presentdestroyed']
 ['5' '98.93340731369626' 'present']
 ['5' '108.10753519029993' 'marauded']
 ['5' '117.18637749832222' 'marauded']
 ['5' '128.29211674276635' 'marauded']
 ['5' '140.0284990292318' 'marauded']
 ['5' '162.99594579419016' 'marauded']
 ['5' '173.54401405190902' 'present']
 ['5' '179.74631828397983' 'present']
 ['5' '181.05056313775003' 'marauded']
 ['5' '220.40777244701286' 'marauded']
 ['5' '239.1677866192999' 'present']
 ['5' '299.07419399365693' 'present']
 ['5' '312.29098513346594' 'present']
 ['3' '318.03693834582725' 'present']
 ['5' '343.097076086318' 'marauded']]","[['F14' '51.24612347694847' 'mated']
 ['F50' '123.61710674769613' 'destroyed']
 ['F57' '142.12175441645348' 'absentdestroyed']
 ['F13' '201.04044142093417' 'mated']
 ['F44' '208.21971760973364' 'mated']
 ['F18' '231.32341942193187' 'absent']
 ['F23' '238.04361185624364' 'mated']
 ['F35' '274.42011481659694' 'absent']
 ['F66' '354.0364003506331' 'absent']]",500.0,0.0,556.0,71.34672470348302,14.855358519723353,1396.0,233.97981803084159,49.189659622654695,328.0,54.77976520953346,11.717196111620616,0.0,0.0,0.0,0.0,0.0,0.0
3,0.054,12,359.787184630635,[['5' '66.38495651628625' 'present']],"[['F10' '57.24823933103923' 'mated']
 ['F58' '78.4986150595133' 'mated']
 ['F65' '82.22046189225715' 'mated']
 ['F19' '99.74042809915555' 'mated']
 ['F2' '141.08008169081685' 'absent']
 ['F16' '153.58749276089392' 'mated']
 ['F30' '162.88656825001902' 'mated']
 ['F62' '184.9447719137398' 'mated']
 ['F68' '205.1094267075014' 'mated']
 ['F37' '208.0692538062166' 'absent']
 ['F44' '208.19656946158548' 'absent']
 ['F4' '226.6400977352818' 'mated']
 ['F21' '231.05372820558878' 'absent']
 ['F18' '231.3513617085334' 'mated']
 ['F34' '252.2114453928194' 'absent']
 ['F34' '252.23459354096755' 'absent']
 ['F47' '271.13762228760453' 'absent']
 ['F69' '291.0100339636329' 'mated']
 ['F11' '293.8460876479474' 'mated']]",500.0,500.0,569.0,71.98570383895965,14.467662949078093,1668.0,283.76411884414176,60.87834425651987,0.0,0.0,0.0,16.0,1.6000000000000003,0.1600000000000001,106.0,2.7281692654131944,0.07448131001371737
4,0.0,3,360.34441098984547,"[['3' '65.96700918985884' 'marauded']
 ['3' '101.19905636610797' 'present']
 ['3' '125.96795596564463' 'present']
 ['3' '141.61039010955' 'present']
 ['3' '142.79006559402595' 'marauded']
 ['3' '211.1116375902173' 'marauded']
 ['3' '275.44789309471497' 'present']
 ['3' '292.87000669931734' 'present']
 ['3' '292.9027431243723' 'present']
 ['3' '296.77432841796997' 'present']
 ['3' '302.2600897934609' 'present']
 ['3' '331.3875133551422' 'marauded']
 ['3' '339.7376462308008' 'marauded']]","[['F36' '170.80904809802064' 'mated']
 ['F61' '206.13917054086838' 'mated']
 ['F9' '317.7616767032001' 'mated']]",1000.0,0.0,571.0,70.81339073823108,14.095263069548254,1551.0,258.8317589280558,55.27738547648294,173.0,30.426091013757105,6.5741735895328,0.0,0.0,0.0,0.0,0.0,0.0
5,0.054,21,360.2235992184742,"[['3' '58.8726642353835' 'present']
 ['3' '85.75084739859535' 'present']
 ['3' '89.95547008861631' 'present']
 ['3' '313.4966318517243' 'present']]","[['F29' '27.14538812438502' 'mated']
 ['F64' '31.818977402156573' 'mated']
 ['F38' '70.40040276760436' 'mated']
 ['F67' '86.62876541859221' 'mated']
 ['F48' '99.37560119211344' 'mated']
 ['F49' '120.58907216634675' 'mated']
 ['F50' '123.64504903429767' 'absent']
 ['F1' '128.77494139224754' 'mated']
 ['F50' '135.66819718244582' 'mated']
 ['F12' '157.53959571784753' 'mated']
 ['F20' '157.65408353971688' 'absent']
 ['F56' '160.82131543960566' 'mated']
 ['F45' '178.24303609423634' 'mated']
 ['F54' '178.27387066985085' 'mated']
 ['F39' '187.78684641326188' 'mated']
 ['F41' '189.6047373781278' 'mated']
 ['F37' '208.04610565806846' 'absent']
 ['F0' '219.64145672357256' 'mated']
 ['F26' '226.40639818144024' 'mated']
 ['F8' '229.2724954089041' 'mated']
 ['F52' '229.83892349245593' 'absent']
 ['F24' '238.3257963255005' 'mated']
 ['F71' '251.42601742178832' 'mated']
 ['F34' '252.2577416891157' 'mated']
 ['F35' '274.431688890671' 'mated']
 ['F66' '354.024826276559' 'absent']
 ['F66' '354.06434263723463' 'absent']]",1000.0,500.0,544.0,72.89047430010669,16.12029364892647,1690.0,283.73471927554135,60.68516272434926,0.0,0.0,0.0,17.0,1.7000000000000004,0.1700000000000001,76.0,1.782407407407407,0.042331104252400505
6,0.0,6,360.19364232408884,"[['5' '7.19991884798352' 'present']
 ['5' '26.438290973710433' 'present']
 ['5' '81.31127821226225' 'present']
 ['5' '110.40118876950298' 'present']
 ['5' '120.50810346048759' 'present']
 ['5' '148.2549621395888' 'marauded']
 ['5' '165.1595037268415' 'present']
 ['5' '221.9419339877473' 'present']
 ['5' '223.83306081873724' 'present']
 ['5' '238.936784392275' 'present']
 ['5' '267.5783805986927' 'marauded']
 ['5' '281.65162037396715' 'present']
 ['5' '288.664747255628' 'marauded']
 ['5' '325.6214409921183' 'present']
 ['5' '341.75088965138787' 'present']]","[['F57' '142.13332849052756' 'mated']
 ['F40' '168.46001560665226' 'mated']
 ['F36' '170.7858999498725' 'absent']
 ['F52' '229.85049756653' 'mated']
 ['F31' '253.8111124455858' 'mated']
 ['F22' '333.52533474566604' 'mated']
 ['F66' '366.0759167113087' 'mated']]",1500.0,0.0,552.0,69.41029625786679,14.744546690941684,1579.0,272.4054558193574,58.52801981960305,108.0,18.252917977458754,3.895508813756653,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,10,360.37828489137013,"[['3' '31.66365870490216' 'present']
 ['3' '47.28838528905165' 'present']
 ['5' '56.350913254513515' 'present']
 ['3' '70.4773293314914' 'present']
 ['3' '74.19144807634393' 'present']
 ['3' '104.872700643798' 'present']
 ['3' '106.67943155430308' 'present']
 ['3' '108.07349416897326' 'present']
 ['5' '108.6579174334996' 'present']
 ['5' '119.35766656591296' 'present']
 ['3' '129.537787943146' 'present']
 ['5' '154.2082321873953' 'present']
 ['3' '162.0173248125689' 'present']
 ['3' '167.39601214700173' 'present']
 ['3' '174.19893123466773' 'present']
 ['3' '175.08496905300328' 'marauded']
 ['3' '190.84251914503812' 'present']
 ['5' '191.81465872007698' 'present']
 ['5' '195.74214060898413' 'present']
 ['3' '199.99835799665942' 'present']
 ['5' '202.62719878195676' 'marauded']
 ['3' '208.48279988374213' 'presentdestroyed']
 ['3' '227.55699075429786' 'present']
 ['3' '232.67945822665627' 'present']
 ['3' '272.44964941082515' 'present']
 ['5' '287.67309806277615' 'present']
 ['3' '289.20132374773885' 'present']
 ['3' '301.6715315453293' 'present']
 ['5' '306.0369206553744' 'present']
 ['5' '306.06006880352254' 'present']
 ['5' '325.6445891402665' 'present']
 ['3' '332.25736046253127' 'present']
 ['3' '333.2857661486502' 'present']
 ['3' '345.7643409646886' 'present']
 ['5' '347.79099427435887' 'present']
 ['3' '359.54740892122743' 'present']]","[['F27' '79.88310717591955' 'mated']
 ['F25' '132.912486027776' 'mated']
 ['F42' '162.115306376424' 'mated']
 ['F60' '183.10060515711362' 'mated']
 ['F70' '194.82260028721603' 'mated']
 ['F61' '206.12280232834092' 'destroyed']
 ['F37' '208.03453158399438' 'destroyed']
 ['F44' '208.20814353565956' 'absentdestroyed']
 ['F37' '220.08082788029068' 'mated']
 ['F21' '231.06530227966286' 'mated']
 ['F5' '237.50105492036317' 'mated']
 ['F34' '252.22301946689348' 'absent']
 ['F33' '285.57202864373085' 'mated']
 ['F15' '338.15504923305554' 'mated']]",1500.0,500.0,570.0,70.63395904398301,15.00627024319515,1644.0,277.56612182663986,59.1575316520973,67.0,12.173575719104596,2.7354929534961467,0.0,0.0,0.0,0.0,0.0,0.0
